Timestamp,Container,CPU_Percentage
1716406412,micro-benchmark-tests-1,387.13%
1716406412,micro-benchmark-java-elastic-1,0.35%
1716406412,micro-benchmark-java-otel-1,0.11%
1716406412,micro-benchmark-java-standard-1,0.17%
1716406412,micro-benchmark-go-elastic-1,0.00%
1716406412,micro-benchmark-go-otel-1,0.00%
1716406412,micro-benchmark-go-standard-1,0.00%
1716406412,micro-benchmark-python-elastic-1,0.02%
1716406412,micro-benchmark-python-otel-1,0.66%
1716406412,micro-benchmark-python-standard-1,49.29%
1716406412,micro-benchmark-postgres-1,0.00%
1716406412,telemetry-apm-server-1,0.00%
1716406412,telemetry-kibana-1,0.37%
1716406412,telemetry-otel-collector-1,0.00%
1716406412,telemetry-elasticsearch-1,1.71%
1716406412,suspicious_hugle,0.00%
1716406412,docker_minio_1,0.16%
1716406412,docker_hive_1,0.08%
1716406412,docker_influx_1,0.02%
1716406412,docker_db_1,0.00%
1716406412,registry,0.00%
1716406416,micro-benchmark-tests-1,61.42%
1716406416,micro-benchmark-java-elastic-1,0.37%
1716406416,micro-benchmark-java-otel-1,0.10%
1716406416,micro-benchmark-java-standard-1,0.12%
1716406416,micro-benchmark-go-elastic-1,0.00%
1716406416,micro-benchmark-go-otel-1,0.00%
1716406416,micro-benchmark-go-standard-1,0.00%
1716406416,micro-benchmark-python-elastic-1,0.02%
1716406416,micro-benchmark-python-otel-1,0.70%
1716406416,micro-benchmark-python-standard-1,71.57%
1716406416,micro-benchmark-postgres-1,0.00%
1716406416,telemetry-apm-server-1,0.15%
1716406416,telemetry-kibana-1,1.12%
1716406416,telemetry-otel-collector-1,0.01%
1716406416,telemetry-elasticsearch-1,4.80%
1716406416,suspicious_hugle,0.00%
1716406416,docker_minio_1,0.95%
1716406416,docker_hive_1,0.13%
1716406416,docker_influx_1,0.02%
1716406416,docker_db_1,0.00%
1716406416,registry,0.03%
1716406419,micro-benchmark-tests-1,58.13%
1716406419,micro-benchmark-java-elastic-1,0.37%
1716406419,micro-benchmark-java-otel-1,0.08%
1716406419,micro-benchmark-java-standard-1,0.11%
1716406419,micro-benchmark-go-elastic-1,0.00%
1716406419,micro-benchmark-go-otel-1,0.00%
1716406419,micro-benchmark-go-standard-1,0.00%
1716406419,micro-benchmark-python-elastic-1,0.53%
1716406419,micro-benchmark-python-otel-1,0.70%
1716406419,micro-benchmark-python-standard-1,65.21%
1716406419,micro-benchmark-postgres-1,0.00%
1716406419,telemetry-apm-server-1,0.36%
1716406419,telemetry-kibana-1,1.40%
1716406419,telemetry-otel-collector-1,0.00%
1716406419,telemetry-elasticsearch-1,3.12%
1716406419,suspicious_hugle,0.00%
1716406419,docker_minio_1,11.56%
1716406419,docker_hive_1,0.09%
1716406419,docker_influx_1,0.04%
1716406419,docker_db_1,0.00%
1716406419,registry,0.00%
1716406423,micro-benchmark-tests-1,52.25%
1716406423,micro-benchmark-java-elastic-1,0.41%
1716406423,micro-benchmark-java-otel-1,0.10%
1716406423,micro-benchmark-java-standard-1,0.10%
1716406423,micro-benchmark-go-elastic-1,0.00%
1716406423,micro-benchmark-go-otel-1,0.00%
1716406423,micro-benchmark-go-standard-1,0.00%
1716406423,micro-benchmark-python-elastic-1,0.01%
1716406423,micro-benchmark-python-otel-1,0.66%
1716406423,micro-benchmark-python-standard-1,52.06%
1716406423,micro-benchmark-postgres-1,0.00%
1716406423,telemetry-apm-server-1,0.21%
1716406423,telemetry-kibana-1,1.29%
1716406423,telemetry-otel-collector-1,0.00%
1716406423,telemetry-elasticsearch-1,2.21%
1716406423,suspicious_hugle,0.00%
1716406423,docker_minio_1,10.49%
1716406423,docker_hive_1,0.09%
1716406423,docker_influx_1,0.01%
1716406423,docker_db_1,0.00%
1716406423,registry,0.00%
1716406427,micro-benchmark-tests-1,61.21%
1716406427,micro-benchmark-java-elastic-1,0.34%
1716406427,micro-benchmark-java-otel-1,0.21%
1716406427,micro-benchmark-java-standard-1,0.09%
1716406427,micro-benchmark-go-elastic-1,0.00%
1716406427,micro-benchmark-go-otel-1,0.00%
1716406427,micro-benchmark-go-standard-1,0.00%
1716406427,micro-benchmark-python-elastic-1,0.25%
1716406427,micro-benchmark-python-otel-1,0.68%
1716406427,micro-benchmark-python-standard-1,61.71%
1716406427,micro-benchmark-postgres-1,0.00%
1716406427,telemetry-apm-server-1,0.12%
1716406427,telemetry-kibana-1,0.93%
1716406427,telemetry-otel-collector-1,0.00%
1716406427,telemetry-elasticsearch-1,1.82%
1716406427,suspicious_hugle,0.00%
1716406427,docker_minio_1,0.12%
1716406427,docker_hive_1,0.09%
1716406427,docker_influx_1,0.02%
1716406427,docker_db_1,0.00%
1716406427,registry,0.00%
1716406430,micro-benchmark-tests-1,57.23%
1716406430,micro-benchmark-java-elastic-1,0.39%
1716406430,micro-benchmark-java-otel-1,0.09%
1716406430,micro-benchmark-java-standard-1,0.10%
1716406430,micro-benchmark-go-elastic-1,0.00%
1716406430,micro-benchmark-go-otel-1,0.00%
1716406430,micro-benchmark-go-standard-1,0.00%
1716406430,micro-benchmark-python-elastic-1,0.02%
1716406430,micro-benchmark-python-otel-1,0.71%
1716406430,micro-benchmark-python-standard-1,63.78%
1716406430,micro-benchmark-postgres-1,0.00%
1716406430,telemetry-apm-server-1,0.04%
1716406430,telemetry-kibana-1,0.40%
1716406430,telemetry-otel-collector-1,0.00%
1716406430,telemetry-elasticsearch-1,1.70%
1716406430,suspicious_hugle,0.00%
1716406430,docker_minio_1,0.67%
1716406430,docker_hive_1,0.07%
1716406430,docker_influx_1,0.15%
1716406430,docker_db_1,0.01%
1716406430,registry,0.00%
1716406434,micro-benchmark-tests-1,103.41%
1716406434,micro-benchmark-java-elastic-1,0.33%
1716406434,micro-benchmark-java-otel-1,0.09%
1716406434,micro-benchmark-java-standard-1,0.11%
1716406434,micro-benchmark-go-elastic-1,1.29%
1716406434,micro-benchmark-go-otel-1,0.00%
1716406434,micro-benchmark-go-standard-1,0.00%
1716406434,micro-benchmark-python-elastic-1,0.02%
1716406434,micro-benchmark-python-otel-1,1.64%
1716406434,micro-benchmark-python-standard-1,67.71%
1716406434,micro-benchmark-postgres-1,0.00%
1716406434,telemetry-apm-server-1,0.61%
1716406434,telemetry-kibana-1,2.06%
1716406434,telemetry-otel-collector-1,5.39%
1716406434,telemetry-elasticsearch-1,5.01%
1716406434,suspicious_hugle,0.00%
1716406434,docker_minio_1,0.15%
1716406434,docker_hive_1,0.07%
1716406434,docker_influx_1,0.02%
1716406434,docker_db_1,0.00%
1716406434,registry,0.00%
1716406438,micro-benchmark-tests-1,55.42%
1716406438,micro-benchmark-java-elastic-1,0.32%
1716406438,micro-benchmark-java-otel-1,0.10%
1716406438,micro-benchmark-java-standard-1,0.11%
1716406438,micro-benchmark-go-elastic-1,0.03%
1716406438,micro-benchmark-go-otel-1,0.00%
1716406438,micro-benchmark-go-standard-1,0.00%
1716406438,micro-benchmark-python-elastic-1,0.04%
1716406438,micro-benchmark-python-otel-1,0.66%
1716406438,micro-benchmark-python-standard-1,63.75%
1716406438,micro-benchmark-postgres-1,0.00%
1716406438,telemetry-apm-server-1,0.15%
