14:00:01,978 INFO SeBS-6439: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/610.dynamic-html-otel
14:00:02,334 INFO OpenWhisk.Resources-d58d: Using user-provided configuration of storage for OpenWhisk.
14:00:02,334 INFO OpenWhisk-745f: Using existing resource name: 8504288e.
14:00:02,338 INFO Benchmark-3be0: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
14:00:02,360 INFO Benchmark-3be0: There is no Docker build image for openwhisk run in nodejs, thus skipping the Docker-based installation of dependencies.
14:00:02,361 INFO OpenWhisk-745f: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.610.dynamic-html-otel.nodejs-12.
14:00:03,123 INFO OpenWhisk-745f: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.610.dynamic-html-otel.nodejs-12 to registry: Docker Hub.
14:00:04,838 INFO OpenWhisk-745f: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/610.dynamic-html-otel/610.dynamic-html-otel_code/nodejs/12/610.dynamic-html-otel.zip archive
14:00:04,839 INFO OpenWhisk-745f: Zip archive size 0.000621 MB
14:00:04,841 INFO Benchmark-3be0: Created code package (source hash: 7701f8b8ca373d836a24b29d7b76ce4b), for run on openwhisk with nodejs:12
14:00:04,844 INFO OpenWhisk-745f: Creating new function! Reason: function 610.dynamic-html-otel-nodejs-12 not found in cache.
14:00:04,844 INFO OpenWhisk-745f: Creating function as an action in OpenWhisk.
14:00:05,5 INFO OpenWhisk-745f: Creating new OpenWhisk action 610.dynamic-html-otel-nodejs-12
14:00:05,299 INFO Experiment.PerfCost-4ea6: Begin experiment on memory size 128
14:00:05,299 INFO OpenWhisk-745f: Update an existing OpenWhisk action 610.dynamic-html-otel-nodejs-12.
14:00:05,492 INFO Experiment.PerfCost-4ea6: Begin warm experiments
14:00:18,288 INFO Experiment.PerfCost-4ea6: Processed 0 warm-up samples, ignoring these results.
14:00:28,425 INFO Experiment.PerfCost-4ea6: Processed 10 samples out of 10000, 0 errors
14:00:38,563 INFO Experiment.PerfCost-4ea6: Processed 20 samples out of 10000, 0 errors
14:00:48,697 INFO Experiment.PerfCost-4ea6: Processed 30 samples out of 10000, 0 errors
14:00:58,829 INFO Experiment.PerfCost-4ea6: Processed 40 samples out of 10000, 0 errors
14:01:08,952 INFO Experiment.PerfCost-4ea6: Processed 50 samples out of 10000, 0 errors
14:01:19,91 INFO Experiment.PerfCost-4ea6: Processed 60 samples out of 10000, 0 errors
14:01:29,241 INFO Experiment.PerfCost-4ea6: Processed 70 samples out of 10000, 0 errors
14:01:39,369 INFO Experiment.PerfCost-4ea6: Processed 80 samples out of 10000, 0 errors
14:01:49,484 INFO Experiment.PerfCost-4ea6: Processed 90 samples out of 10000, 0 errors
14:01:59,619 INFO Experiment.PerfCost-4ea6: Processed 100 samples out of 10000, 0 errors
14:02:09,754 INFO Experiment.PerfCost-4ea6: Processed 110 samples out of 10000, 0 errors
14:02:19,879 INFO Experiment.PerfCost-4ea6: Processed 120 samples out of 10000, 0 errors
14:02:30,15 INFO Experiment.PerfCost-4ea6: Processed 130 samples out of 10000, 0 errors
14:02:40,160 INFO Experiment.PerfCost-4ea6: Processed 140 samples out of 10000, 0 errors
14:02:50,299 INFO Experiment.PerfCost-4ea6: Processed 150 samples out of 10000, 0 errors
14:03:00,441 INFO Experiment.PerfCost-4ea6: Processed 160 samples out of 10000, 0 errors
14:03:10,567 INFO Experiment.PerfCost-4ea6: Processed 170 samples out of 10000, 0 errors
14:03:20,695 INFO Experiment.PerfCost-4ea6: Processed 180 samples out of 10000, 0 errors
14:03:30,836 INFO Experiment.PerfCost-4ea6: Processed 190 samples out of 10000, 0 errors
14:03:40,957 INFO Experiment.PerfCost-4ea6: Processed 200 samples out of 10000, 0 errors
14:03:51,74 INFO Experiment.PerfCost-4ea6: Processed 210 samples out of 10000, 0 errors
14:04:01,218 INFO Experiment.PerfCost-4ea6: Processed 220 samples out of 10000, 0 errors
14:04:11,348 INFO Experiment.PerfCost-4ea6: Processed 230 samples out of 10000, 0 errors
14:04:21,467 INFO Experiment.PerfCost-4ea6: Processed 240 samples out of 10000, 0 errors
14:04:31,593 INFO Experiment.PerfCost-4ea6: Processed 250 samples out of 10000, 0 errors
14:04:41,732 INFO Experiment.PerfCost-4ea6: Processed 260 samples out of 10000, 0 errors
14:04:51,854 INFO Experiment.PerfCost-4ea6: Processed 270 samples out of 10000, 0 errors
14:05:01,967 INFO Experiment.PerfCost-4ea6: Processed 280 samples out of 10000, 0 errors
14:05:12,139 INFO Experiment.PerfCost-4ea6: Processed 290 samples out of 10000, 0 errors
14:05:22,308 INFO Experiment.PerfCost-4ea6: Processed 300 samples out of 10000, 0 errors
14:05:32,426 INFO Experiment.PerfCost-4ea6: Processed 310 samples out of 10000, 0 errors
14:05:42,544 INFO Experiment.PerfCost-4ea6: Processed 320 samples out of 10000, 0 errors
14:05:52,667 INFO Experiment.PerfCost-4ea6: Processed 330 samples out of 10000, 0 errors
14:06:02,814 INFO Experiment.PerfCost-4ea6: Processed 340 samples out of 10000, 0 errors
14:06:12,940 INFO Experiment.PerfCost-4ea6: Processed 350 samples out of 10000, 0 errors
14:06:23,67 INFO Experiment.PerfCost-4ea6: Processed 360 samples out of 10000, 0 errors
14:06:33,188 INFO Experiment.PerfCost-4ea6: Processed 370 samples out of 10000, 0 errors
14:06:43,321 INFO Experiment.PerfCost-4ea6: Processed 380 samples out of 10000, 0 errors
14:06:53,452 INFO Experiment.PerfCost-4ea6: Processed 390 samples out of 10000, 0 errors
14:07:03,566 INFO Experiment.PerfCost-4ea6: Processed 400 samples out of 10000, 0 errors
14:07:13,693 INFO Experiment.PerfCost-4ea6: Processed 410 samples out of 10000, 0 errors
14:07:23,827 INFO Experiment.PerfCost-4ea6: Processed 420 samples out of 10000, 0 errors
14:07:33,948 INFO Experiment.PerfCost-4ea6: Processed 430 samples out of 10000, 0 errors
14:07:44,64 INFO Experiment.PerfCost-4ea6: Processed 440 samples out of 10000, 0 errors
14:07:54,187 INFO Experiment.PerfCost-4ea6: Processed 450 samples out of 10000, 0 errors
14:08:04,317 INFO Experiment.PerfCost-4ea6: Processed 460 samples out of 10000, 0 errors
14:08:14,433 INFO Experiment.PerfCost-4ea6: Processed 470 samples out of 10000, 0 errors
14:08:24,556 INFO Experiment.PerfCost-4ea6: Processed 480 samples out of 10000, 0 errors
14:08:34,680 INFO Experiment.PerfCost-4ea6: Processed 490 samples out of 10000, 0 errors
14:08:44,810 INFO Experiment.PerfCost-4ea6: Processed 500 samples out of 10000, 0 errors
14:08:54,932 INFO Experiment.PerfCost-4ea6: Processed 510 samples out of 10000, 0 errors
14:09:05,61 INFO Experiment.PerfCost-4ea6: Processed 520 samples out of 10000, 0 errors
14:09:15,183 INFO Experiment.PerfCost-4ea6: Processed 530 samples out of 10000, 0 errors
14:09:25,305 INFO Experiment.PerfCost-4ea6: Processed 540 samples out of 10000, 0 errors
14:09:35,419 INFO Experiment.PerfCost-4ea6: Processed 550 samples out of 10000, 0 errors
14:09:45,550 INFO Experiment.PerfCost-4ea6: Processed 560 samples out of 10000, 0 errors
14:09:55,662 INFO Experiment.PerfCost-4ea6: Processed 570 samples out of 10000, 0 errors
14:10:05,774 INFO Experiment.PerfCost-4ea6: Processed 580 samples out of 10000, 0 errors
14:10:15,924 INFO Experiment.PerfCost-4ea6: Processed 590 samples out of 10000, 0 errors
14:10:26,69 INFO Experiment.PerfCost-4ea6: Processed 600 samples out of 10000, 0 errors
14:10:36,209 INFO Experiment.PerfCost-4ea6: Processed 610 samples out of 10000, 0 errors
14:10:46,319 INFO Experiment.PerfCost-4ea6: Processed 620 samples out of 10000, 0 errors
14:10:56,438 INFO Experiment.PerfCost-4ea6: Processed 630 samples out of 10000, 0 errors
14:11:06,554 INFO Experiment.PerfCost-4ea6: Processed 640 samples out of 10000, 0 errors
14:11:16,679 INFO Experiment.PerfCost-4ea6: Processed 650 samples out of 10000, 0 errors
14:11:26,796 INFO Experiment.PerfCost-4ea6: Processed 660 samples out of 10000, 0 errors
14:11:36,927 INFO Experiment.PerfCost-4ea6: Processed 670 samples out of 10000, 0 errors
14:11:47,51 INFO Experiment.PerfCost-4ea6: Processed 680 samples out of 10000, 0 errors
14:11:57,179 INFO Experiment.PerfCost-4ea6: Processed 690 samples out of 10000, 0 errors
14:12:07,307 INFO Experiment.PerfCost-4ea6: Processed 700 samples out of 10000, 0 errors
