16:49:24,6 INFO SeBS-3a87: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/620.uploader-otel
16:49:24,353 INFO OpenWhisk.Resources-49e2: Using user-provided configuration of storage for OpenWhisk.
16:49:24,354 INFO OpenWhisk-6aa3: Using existing resource name: 8504288e.
16:49:24,358 INFO Benchmark-1bfc: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
16:49:24,359 INFO Benchmark-1bfc: There is no Docker build image for openwhisk run in nodejs, thus skipping the Docker-based installation of dependencies.
16:49:24,359 INFO OpenWhisk-6aa3: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.620.uploader-opentelemetry.nodejs-12.
16:49:25,114 INFO OpenWhisk-6aa3: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.620.uploader-opentelemetry.nodejs-12 to registry: Docker Hub.
16:49:26,410 INFO OpenWhisk-6aa3: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/620.uploader-otel/620.uploader-opentelemetry_code/nodejs/12/620.uploader-opentelemetry.zip archive
16:49:26,411 INFO OpenWhisk-6aa3: Zip archive size 0.000621 MB
16:49:26,412 INFO Benchmark-1bfc: Created code package (source hash: bf8da6a1b0211dcfcfcb22bd628bef2b), for run on openwhisk with nodejs:12
16:49:26,415 INFO OpenWhisk-6aa3: Creating new function! Reason: function 620.uploader-opentelemetry-nodejs-12 not found in cache.
16:49:26,415 INFO OpenWhisk-6aa3: Creating function as an action in OpenWhisk.
16:49:26,581 INFO OpenWhisk-6aa3: Creating new OpenWhisk action 620.uploader-opentelemetry-nodejs-12
16:49:26,858 INFO Experiment.PerfCost-961b: Begin experiment on memory size 128
16:49:26,858 INFO OpenWhisk-6aa3: Update an existing OpenWhisk action 620.uploader-opentelemetry-nodejs-12.
16:49:27,50 INFO Experiment.PerfCost-961b: Begin warm experiments
16:49:39,96 INFO Experiment.PerfCost-961b: Processed 0 warm-up samples, ignoring these results.
16:49:49,287 INFO Experiment.PerfCost-961b: Processed 10 samples out of 10000, 0 errors
16:49:59,453 INFO Experiment.PerfCost-961b: Processed 20 samples out of 10000, 0 errors
16:50:09,630 INFO Experiment.PerfCost-961b: Processed 30 samples out of 10000, 0 errors
16:50:19,805 INFO Experiment.PerfCost-961b: Processed 40 samples out of 10000, 0 errors
16:50:30,14 INFO Experiment.PerfCost-961b: Processed 50 samples out of 10000, 0 errors
16:50:40,189 INFO Experiment.PerfCost-961b: Processed 60 samples out of 10000, 0 errors
16:50:50,356 INFO Experiment.PerfCost-961b: Processed 70 samples out of 10000, 0 errors
16:51:00,538 INFO Experiment.PerfCost-961b: Processed 80 samples out of 10000, 0 errors
16:51:10,714 INFO Experiment.PerfCost-961b: Processed 90 samples out of 10000, 0 errors
16:51:20,881 INFO Experiment.PerfCost-961b: Processed 100 samples out of 10000, 0 errors
16:51:31,42 INFO Experiment.PerfCost-961b: Processed 110 samples out of 10000, 0 errors
16:51:41,221 INFO Experiment.PerfCost-961b: Processed 120 samples out of 10000, 0 errors
16:51:51,394 INFO Experiment.PerfCost-961b: Processed 130 samples out of 10000, 0 errors
16:52:01,564 INFO Experiment.PerfCost-961b: Processed 140 samples out of 10000, 0 errors
16:52:11,739 INFO Experiment.PerfCost-961b: Processed 150 samples out of 10000, 0 errors
16:52:21,915 INFO Experiment.PerfCost-961b: Processed 160 samples out of 10000, 0 errors
16:52:32,114 INFO Experiment.PerfCost-961b: Processed 170 samples out of 10000, 0 errors
16:52:42,309 INFO Experiment.PerfCost-961b: Processed 180 samples out of 10000, 0 errors
16:52:52,479 INFO Experiment.PerfCost-961b: Processed 190 samples out of 10000, 0 errors
16:53:02,632 INFO Experiment.PerfCost-961b: Processed 200 samples out of 10000, 0 errors
16:53:12,814 INFO Experiment.PerfCost-961b: Processed 210 samples out of 10000, 0 errors
16:53:23,3 INFO Experiment.PerfCost-961b: Processed 220 samples out of 10000, 0 errors
16:53:33,183 INFO Experiment.PerfCost-961b: Processed 230 samples out of 10000, 0 errors
16:53:43,358 INFO Experiment.PerfCost-961b: Processed 240 samples out of 10000, 0 errors
16:53:53,525 INFO Experiment.PerfCost-961b: Processed 250 samples out of 10000, 0 errors
16:54:03,697 INFO Experiment.PerfCost-961b: Processed 260 samples out of 10000, 0 errors
16:54:13,906 INFO Experiment.PerfCost-961b: Processed 270 samples out of 10000, 0 errors
16:54:24,88 INFO Experiment.PerfCost-961b: Processed 280 samples out of 10000, 0 errors
16:54:34,261 INFO Experiment.PerfCost-961b: Processed 290 samples out of 10000, 0 errors
16:54:44,456 INFO Experiment.PerfCost-961b: Processed 300 samples out of 10000, 0 errors
16:54:54,629 INFO Experiment.PerfCost-961b: Processed 310 samples out of 10000, 0 errors
16:55:04,807 INFO Experiment.PerfCost-961b: Processed 320 samples out of 10000, 0 errors
16:55:14,983 INFO Experiment.PerfCost-961b: Processed 330 samples out of 10000, 0 errors
16:55:25,160 INFO Experiment.PerfCost-961b: Processed 340 samples out of 10000, 0 errors
16:55:35,334 INFO Experiment.PerfCost-961b: Processed 350 samples out of 10000, 0 errors
16:55:45,507 INFO Experiment.PerfCost-961b: Processed 360 samples out of 10000, 0 errors
16:55:55,681 INFO Experiment.PerfCost-961b: Processed 370 samples out of 10000, 0 errors
16:56:05,866 INFO Experiment.PerfCost-961b: Processed 380 samples out of 10000, 0 errors
16:56:16,37 INFO Experiment.PerfCost-961b: Processed 390 samples out of 10000, 0 errors
16:56:26,232 INFO Experiment.PerfCost-961b: Processed 400 samples out of 10000, 0 errors
16:56:36,408 INFO Experiment.PerfCost-961b: Processed 410 samples out of 10000, 0 errors
16:56:46,575 INFO Experiment.PerfCost-961b: Processed 420 samples out of 10000, 0 errors
16:56:56,749 INFO Experiment.PerfCost-961b: Processed 430 samples out of 10000, 0 errors
16:57:06,922 INFO Experiment.PerfCost-961b: Processed 440 samples out of 10000, 0 errors
16:57:17,104 INFO Experiment.PerfCost-961b: Processed 450 samples out of 10000, 0 errors
16:57:27,266 INFO Experiment.PerfCost-961b: Processed 460 samples out of 10000, 0 errors
16:57:37,440 INFO Experiment.PerfCost-961b: Processed 470 samples out of 10000, 0 errors
16:57:47,638 INFO Experiment.PerfCost-961b: Processed 480 samples out of 10000, 0 errors
16:57:57,797 INFO Experiment.PerfCost-961b: Processed 490 samples out of 10000, 0 errors
16:58:07,973 INFO Experiment.PerfCost-961b: Processed 500 samples out of 10000, 0 errors
16:58:18,143 INFO Experiment.PerfCost-961b: Processed 510 samples out of 10000, 0 errors
16:58:28,314 INFO Experiment.PerfCost-961b: Processed 520 samples out of 10000, 0 errors
16:58:38,467 INFO Experiment.PerfCost-961b: Processed 530 samples out of 10000, 0 errors
16:58:48,637 INFO Experiment.PerfCost-961b: Processed 540 samples out of 10000, 0 errors
16:58:58,817 INFO Experiment.PerfCost-961b: Processed 550 samples out of 10000, 0 errors
16:59:08,986 INFO Experiment.PerfCost-961b: Processed 560 samples out of 10000, 0 errors
16:59:19,161 INFO Experiment.PerfCost-961b: Processed 570 samples out of 10000, 0 errors
16:59:29,320 INFO Experiment.PerfCost-961b: Processed 580 samples out of 10000, 0 errors
16:59:39,499 INFO Experiment.PerfCost-961b: Processed 590 samples out of 10000, 0 errors
16:59:49,708 INFO Experiment.PerfCost-961b: Processed 600 samples out of 10000, 0 errors
16:59:59,885 INFO Experiment.PerfCost-961b: Processed 610 samples out of 10000, 0 errors
17:00:10,55 INFO Experiment.PerfCost-961b: Processed 620 samples out of 10000, 0 errors
17:00:20,229 INFO Experiment.PerfCost-961b: Processed 630 samples out of 10000, 0 errors
17:00:30,384 INFO Experiment.PerfCost-961b: Processed 640 samples out of 10000, 0 errors
17:00:40,547 INFO Experiment.PerfCost-961b: Processed 650 samples out of 10000, 0 errors
17:00:50,711 INFO Experiment.PerfCost-961b: Processed 660 samples out of 10000, 0 errors
17:01:00,905 INFO Experiment.PerfCost-961b: Processed 670 samples out of 10000, 0 errors
17:01:11,65 INFO Experiment.PerfCost-961b: Processed 680 samples out of 10000, 0 errors
17:01:21,250 INFO Experiment.PerfCost-961b: Processed 690 samples out of 10000, 0 errors
17:01:31,443 INFO Experiment.PerfCost-961b: Processed 700 samples out of 10000, 0 errors
17:01:41,611 INFO Experiment.PerfCost-961b: Processed 710 samples out of 10000, 0 errors
17:01:51,784 INFO Experiment.PerfCost-961b: Processed 720 samples out of 10000, 0 errors
17:02:01,954 INFO Experiment.PerfCost-961b: Processed 730 samples out of 10000, 0 errors
17:02:12,120 INFO Experiment.PerfCost-961b: Processed 740 samples out of 10000, 0 errors
17:02:22,298 INFO Experiment.PerfCost-961b: Processed 750 samples out of 10000, 0 errors
17:02:32,481 INFO Experiment.PerfCost-961b: Processed 760 samples out of 10000, 0 errors
17:02:42,675 INFO Experiment.PerfCost-961b: Processed 770 samples out of 10000, 0 errors
17:02:52,882 INFO Experiment.PerfCost-961b: Processed 780 samples out of 10000, 0 errors
17:03:03,43 INFO Experiment.PerfCost-961b: Processed 790 samples out of 10000, 0 errors
17:03:13,218 INFO Experiment.PerfCost-961b: Processed 800 samples out of 10000, 0 errors
17:03:23,395 INFO Experiment.PerfCost-961b: Processed 810 samples out of 10000, 0 errors
17:03:33,567 INFO Experiment.PerfCost-961b: Processed 820 samples out of 10000, 0 errors
17:03:43,764 INFO Experiment.PerfCost-961b: Processed 830 samples out of 10000, 0 errors
17:03:53,949 INFO Experiment.PerfCost-961b: Processed 840 samples out of 10000, 0 errors
17:04:04,138 INFO Experiment.PerfCost-961b: Processed 850 samples out of 10000, 0 errors
17:04:14,310 INFO Experiment.PerfCost-961b: Processed 860 samples out of 10000, 0 errors
17:04:24,498 INFO Experiment.PerfCost-961b: Processed 870 samples out of 10000, 0 errors
17:04:34,663 INFO Experiment.PerfCost-961b: Processed 880 samples out of 10000, 0 errors
17:04:44,839 INFO Experiment.PerfCost-961b: Processed 890 samples out of 10000, 0 errors
17:04:55,19 INFO Experiment.PerfCost-961b: Processed 900 samples out of 10000, 0 errors
17:05:05,383 INFO Experiment.PerfCost-961b: Processed 910 samples out of 10000, 0 errors
17:05:15,572 INFO Experiment.PerfCost-961b: Processed 920 samples out of 10000, 0 errors
17:05:25,765 INFO Experiment.PerfCost-961b: Processed 930 samples out of 10000, 0 errors
17:05:35,937 INFO Experiment.PerfCost-961b: Processed 940 samples out of 10000, 0 errors
17:05:46,111 INFO Experiment.PerfCost-961b: Processed 950 samples out of 10000, 0 errors
17:05:56,293 INFO Experiment.PerfCost-961b: Processed 960 samples out of 10000, 0 errors
17:06:06,478 INFO Experiment.PerfCost-961b: Processed 970 samples out of 10000, 0 errors
17:06:16,647 INFO Experiment.PerfCost-961b: Processed 980 samples out of 10000, 0 errors
17:06:26,812 INFO Experiment.PerfCost-961b: Processed 990 samples out of 10000, 0 errors
17:06:36,982 INFO Experiment.PerfCost-961b: Processed 1000 samples out of 10000, 0 errors
17:06:47,163 INFO Experiment.PerfCost-961b: Processed 1010 samples out of 10000, 0 errors
