19:39:34,775 INFO SeBS-c6b9: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/630.thumbnailer-otel
19:39:35,93 INFO OpenWhisk.Resources-151e: Using user-provided configuration of storage for OpenWhisk.
19:39:35,94 INFO OpenWhisk-24e9: Using existing resource name: 8504288e.
19:39:35,98 INFO Benchmark-0fec: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
19:39:35,99 INFO Benchmark-0fec: There is no Docker build image for openwhisk run in nodejs, thus skipping the Docker-based installation of dependencies.
19:39:35,99 INFO OpenWhisk-24e9: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.630.thumbnailer-opentelemetry.nodejs-12.
19:40:00,718 INFO OpenWhisk-24e9: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.630.thumbnailer-opentelemetry.nodejs-12 to registry: Docker Hub.
19:40:05,102 INFO OpenWhisk-24e9: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/630.thumbnailer-otel/630.thumbnailer-opentelemetry_code/nodejs/12/630.thumbnailer-opentelemetry.zip archive
19:40:05,102 INFO OpenWhisk-24e9: Zip archive size 0.000621 MB
19:40:05,105 INFO Benchmark-0fec: Created code package (source hash: 2d7216c8f08ed0816b443d8a0444440f), for run on openwhisk with nodejs:12
19:40:05,108 INFO OpenWhisk-24e9: Creating new function! Reason: function 630.thumbnailer-opentelemetry-nodejs-12 not found in cache.
19:40:05,109 INFO OpenWhisk-24e9: Creating function as an action in OpenWhisk.
19:40:05,280 INFO OpenWhisk-24e9: Creating new OpenWhisk action 630.thumbnailer-opentelemetry-nodejs-12
19:40:06,162 INFO Experiment.PerfCost-0e34: Begin experiment on memory size 256
19:40:06,162 INFO OpenWhisk-24e9: Update an existing OpenWhisk action 630.thumbnailer-opentelemetry-nodejs-12.
19:40:06,327 INFO Experiment.PerfCost-0e34: Begin warm experiments
19:40:20,847 INFO Experiment.PerfCost-0e34: Processed 0 warm-up samples, ignoring these results.
19:40:31,663 INFO Experiment.PerfCost-0e34: Processed 10 samples out of 10000, 0 errors
19:40:42,482 INFO Experiment.PerfCost-0e34: Processed 20 samples out of 10000, 0 errors
19:40:53,233 INFO Experiment.PerfCost-0e34: Processed 30 samples out of 10000, 0 errors
19:41:03,985 INFO Experiment.PerfCost-0e34: Processed 40 samples out of 10000, 0 errors
19:41:14,758 INFO Experiment.PerfCost-0e34: Processed 50 samples out of 10000, 0 errors
19:41:25,506 INFO Experiment.PerfCost-0e34: Processed 60 samples out of 10000, 0 errors
19:41:36,259 INFO Experiment.PerfCost-0e34: Processed 70 samples out of 10000, 0 errors
19:41:47,45 INFO Experiment.PerfCost-0e34: Processed 80 samples out of 10000, 0 errors
19:41:57,744 INFO Experiment.PerfCost-0e34: Processed 90 samples out of 10000, 0 errors
19:42:08,461 INFO Experiment.PerfCost-0e34: Processed 100 samples out of 10000, 0 errors
19:42:19,183 INFO Experiment.PerfCost-0e34: Processed 110 samples out of 10000, 0 errors
19:42:29,944 INFO Experiment.PerfCost-0e34: Processed 120 samples out of 10000, 0 errors
19:42:40,671 INFO Experiment.PerfCost-0e34: Processed 130 samples out of 10000, 0 errors
19:42:51,459 INFO Experiment.PerfCost-0e34: Processed 140 samples out of 10000, 0 errors
19:43:02,212 INFO Experiment.PerfCost-0e34: Processed 150 samples out of 10000, 0 errors
19:43:12,975 INFO Experiment.PerfCost-0e34: Processed 160 samples out of 10000, 0 errors
19:43:23,701 INFO Experiment.PerfCost-0e34: Processed 170 samples out of 10000, 0 errors
19:43:34,432 INFO Experiment.PerfCost-0e34: Processed 180 samples out of 10000, 0 errors
19:43:45,171 INFO Experiment.PerfCost-0e34: Processed 190 samples out of 10000, 0 errors
19:43:55,930 INFO Experiment.PerfCost-0e34: Processed 200 samples out of 10000, 0 errors
19:44:06,671 INFO Experiment.PerfCost-0e34: Processed 210 samples out of 10000, 0 errors
19:44:17,439 INFO Experiment.PerfCost-0e34: Processed 220 samples out of 10000, 0 errors
19:44:28,232 INFO Experiment.PerfCost-0e34: Processed 230 samples out of 10000, 0 errors
19:44:38,995 INFO Experiment.PerfCost-0e34: Processed 240 samples out of 10000, 0 errors
19:44:49,717 INFO Experiment.PerfCost-0e34: Processed 250 samples out of 10000, 0 errors
19:45:00,437 INFO Experiment.PerfCost-0e34: Processed 260 samples out of 10000, 0 errors
19:45:11,141 INFO Experiment.PerfCost-0e34: Processed 270 samples out of 10000, 0 errors
19:45:21,870 INFO Experiment.PerfCost-0e34: Processed 280 samples out of 10000, 0 errors
19:45:32,558 INFO Experiment.PerfCost-0e34: Processed 290 samples out of 10000, 0 errors
19:45:43,312 INFO Experiment.PerfCost-0e34: Processed 300 samples out of 10000, 0 errors
19:45:54,21 INFO Experiment.PerfCost-0e34: Processed 310 samples out of 10000, 0 errors
19:46:04,719 INFO Experiment.PerfCost-0e34: Processed 320 samples out of 10000, 0 errors
19:46:15,405 INFO Experiment.PerfCost-0e34: Processed 330 samples out of 10000, 0 errors
19:46:26,112 INFO Experiment.PerfCost-0e34: Processed 340 samples out of 10000, 0 errors
19:46:36,853 INFO Experiment.PerfCost-0e34: Processed 350 samples out of 10000, 0 errors
19:46:47,579 INFO Experiment.PerfCost-0e34: Processed 360 samples out of 10000, 0 errors
19:46:58,311 INFO Experiment.PerfCost-0e34: Processed 370 samples out of 10000, 0 errors
19:47:09,16 INFO Experiment.PerfCost-0e34: Processed 380 samples out of 10000, 0 errors
19:47:19,758 INFO Experiment.PerfCost-0e34: Processed 390 samples out of 10000, 0 errors
19:47:30,468 INFO Experiment.PerfCost-0e34: Processed 400 samples out of 10000, 0 errors
