22:39:25,509 INFO SeBS-4c50: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/640.video-processing-otel
22:39:25,857 INFO OpenWhisk.Resources-8467: Using user-provided configuration of storage for OpenWhisk.
22:39:25,858 INFO OpenWhisk-79fb: Using existing resource name: 8504288e.
22:39:25,862 INFO Benchmark-689a: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
22:39:32,890 INFO Benchmark-689a: There is no Docker build image for openwhisk run in nodejs, thus skipping the Docker-based installation of dependencies.
22:39:32,891 INFO OpenWhisk-79fb: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.640.video-processing-opentelemetry.nodejs-12.
22:39:34,214 INFO OpenWhisk-79fb: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.640.video-processing-opentelemetry.nodejs-12 to registry: Docker Hub.
22:39:35,766 INFO OpenWhisk-79fb: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/640.video-processing-otel/640.video-processing-opentelemetry_code/nodejs/12/640.video-processing-opentelemetry.zip archive
22:39:35,767 INFO OpenWhisk-79fb: Zip archive size 0.000621 MB
22:39:35,769 INFO Benchmark-689a: Created code package (source hash: 15b121255d463fa80a16151eedd6195d), for run on openwhisk with nodejs:12
22:39:35,772 INFO OpenWhisk-79fb: Creating new function! Reason: function 640.video-processing-opentelemetry-nodejs-12 not found in cache.
22:39:35,773 INFO OpenWhisk-79fb: Creating function as an action in OpenWhisk.
22:39:35,949 INFO OpenWhisk-79fb: Creating new OpenWhisk action 640.video-processing-opentelemetry-nodejs-12
22:39:36,386 INFO Experiment.PerfCost-3361: Begin experiment on memory size 512
22:39:36,386 INFO OpenWhisk-79fb: Update an existing OpenWhisk action 640.video-processing-opentelemetry-nodejs-12.
22:39:36,556 INFO Experiment.PerfCost-3361: Begin warm experiments
22:39:54,874 INFO Experiment.PerfCost-3361: Processed 0 warm-up samples, ignoring these results.
22:40:07,858 INFO Experiment.PerfCost-3361: Processed 10 samples out of 10000, 0 errors
22:40:20,857 INFO Experiment.PerfCost-3361: Processed 20 samples out of 10000, 0 errors
22:40:33,783 INFO Experiment.PerfCost-3361: Processed 30 samples out of 10000, 0 errors
22:40:46,849 INFO Experiment.PerfCost-3361: Processed 40 samples out of 10000, 0 errors
22:40:59,880 INFO Experiment.PerfCost-3361: Processed 50 samples out of 10000, 0 errors
22:41:12,721 INFO Experiment.PerfCost-3361: Processed 60 samples out of 10000, 0 errors
