02:14:56,528 INFO SeBS-ac33: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/660.graph-pagerank
02:14:56,873 INFO OpenWhisk.Resources-6ab7: Using user-provided configuration of storage for OpenWhisk.
02:14:56,873 INFO OpenWhisk-dcbe: Using existing resource name: 8504288e.
02:14:56,877 INFO Benchmark-b382: Building benchmark 660.graph-pagerank. Reason: no cached code package.
02:14:56,878 INFO Benchmark-b382: There is no Docker build image for openwhisk run in nodejs, thus skipping the Docker-based installation of dependencies.
02:14:56,879 INFO OpenWhisk-dcbe: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.660.graph-pagerank.nodejs-12.
02:14:57,633 INFO OpenWhisk-dcbe: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.660.graph-pagerank.nodejs-12 to registry: Docker Hub.
02:14:59,162 INFO OpenWhisk-dcbe: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/660.graph-pagerank/660.graph-pagerank_code/nodejs/12/660.graph-pagerank.zip archive
02:14:59,162 INFO OpenWhisk-dcbe: Zip archive size 0.000621 MB
02:14:59,164 INFO Benchmark-b382: Created code package (source hash: afc2d38d05c1d9f329553f223a7bc403), for run on openwhisk with nodejs:12
02:14:59,168 INFO OpenWhisk-dcbe: Creating new function! Reason: function 660.graph-pagerank-nodejs-12 not found in cache.
02:14:59,168 INFO OpenWhisk-dcbe: Creating function as an action in OpenWhisk.
02:14:59,338 INFO OpenWhisk-dcbe: Creating new OpenWhisk action 660.graph-pagerank-nodejs-12
02:14:59,625 INFO Experiment.PerfCost-b181: Begin experiment on memory size 512
02:14:59,625 INFO OpenWhisk-dcbe: Update an existing OpenWhisk action 660.graph-pagerank-nodejs-12.
02:14:59,805 INFO Experiment.PerfCost-b181: Begin warm experiments
02:15:09,521 INFO Experiment.PerfCost-b181: Processed 0 warm-up samples, ignoring these results.
02:15:19,623 INFO Experiment.PerfCost-b181: Processed 10 samples out of 10000, 0 errors
02:15:29,720 INFO Experiment.PerfCost-b181: Processed 20 samples out of 10000, 0 errors
02:15:39,821 INFO Experiment.PerfCost-b181: Processed 30 samples out of 10000, 0 errors
02:15:49,913 INFO Experiment.PerfCost-b181: Processed 40 samples out of 10000, 0 errors
02:16:00,2 INFO Experiment.PerfCost-b181: Processed 50 samples out of 10000, 0 errors
02:16:10,94 INFO Experiment.PerfCost-b181: Processed 60 samples out of 10000, 0 errors
02:16:20,188 INFO Experiment.PerfCost-b181: Processed 70 samples out of 10000, 0 errors
02:16:30,283 INFO Experiment.PerfCost-b181: Processed 80 samples out of 10000, 0 errors
02:16:40,383 INFO Experiment.PerfCost-b181: Processed 90 samples out of 10000, 0 errors
02:16:50,477 INFO Experiment.PerfCost-b181: Processed 100 samples out of 10000, 0 errors
02:17:00,572 INFO Experiment.PerfCost-b181: Processed 110 samples out of 10000, 0 errors
02:17:10,666 INFO Experiment.PerfCost-b181: Processed 120 samples out of 10000, 0 errors
02:17:20,764 INFO Experiment.PerfCost-b181: Processed 130 samples out of 10000, 0 errors
02:17:30,880 INFO Experiment.PerfCost-b181: Processed 140 samples out of 10000, 0 errors
02:17:41,14 INFO Experiment.PerfCost-b181: Processed 150 samples out of 10000, 0 errors
02:17:51,140 INFO Experiment.PerfCost-b181: Processed 160 samples out of 10000, 0 errors
02:18:01,239 INFO Experiment.PerfCost-b181: Processed 170 samples out of 10000, 0 errors
