16:20:02,484 INFO SeBS-a4ac: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/110.dynamic-html
16:20:02,836 INFO OpenWhisk.Resources-b3f9: Using user-provided configuration of storage for OpenWhisk.
16:20:02,836 INFO OpenWhisk-1601: Using existing resource name: 91d37410.
16:20:02,930 INFO Benchmark-643b: Using cached benchmark 110.dynamic-html at /home/anou/msc-thesis/task-based-experiment/cache/110.dynamic-html/openwhisk/nodejs/12/110.dynamic-html.zip
16:20:02,931 INFO OpenWhisk-1601: Using cached function 110.dynamic-html-nodejs-12 in /home/anou/msc-thesis/task-based-experiment/cache/110.dynamic-html/openwhisk/nodejs/12/110.dynamic-html.zip
16:20:02,951 INFO OpenWhisk-1601: Cached function 110.dynamic-html-nodejs-12 is up to date.
16:20:02,955 INFO Experiment.PerfCost-5cc9: Begin experiment on memory size 128
16:20:02,955 INFO OpenWhisk-1601: Update an existing OpenWhisk action 110.dynamic-html-nodejs-12.
16:20:03,128 INFO Experiment.PerfCost-5cc9: Begin warm experiments
16:20:10,663 INFO Experiment.PerfCost-5cc9: Processed 0 warm-up samples, ignoring these results.
16:20:20,742 INFO Experiment.PerfCost-5cc9: Processed 10 samples out of 10000, 0 errors
16:20:30,817 INFO Experiment.PerfCost-5cc9: Processed 20 samples out of 10000, 0 errors
16:20:40,898 INFO Experiment.PerfCost-5cc9: Processed 30 samples out of 10000, 0 errors
16:20:50,967 INFO Experiment.PerfCost-5cc9: Processed 40 samples out of 10000, 0 errors
16:21:01,79 INFO Experiment.PerfCost-5cc9: Processed 50 samples out of 10000, 0 errors
16:21:11,155 INFO Experiment.PerfCost-5cc9: Processed 60 samples out of 10000, 0 errors
16:21:21,238 INFO Experiment.PerfCost-5cc9: Processed 70 samples out of 10000, 0 errors
16:21:31,303 INFO Experiment.PerfCost-5cc9: Processed 80 samples out of 10000, 0 errors
16:21:41,379 INFO Experiment.PerfCost-5cc9: Processed 90 samples out of 10000, 0 errors
16:21:51,459 INFO Experiment.PerfCost-5cc9: Processed 100 samples out of 10000, 0 errors
16:22:01,534 INFO Experiment.PerfCost-5cc9: Processed 110 samples out of 10000, 0 errors
16:22:11,609 INFO Experiment.PerfCost-5cc9: Processed 120 samples out of 10000, 0 errors
16:22:21,678 INFO Experiment.PerfCost-5cc9: Processed 130 samples out of 10000, 0 errors
16:22:31,751 INFO Experiment.PerfCost-5cc9: Processed 140 samples out of 10000, 0 errors
16:22:41,825 INFO Experiment.PerfCost-5cc9: Processed 150 samples out of 10000, 0 errors
