19:08:21,358 INFO SeBS-15e8: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/120.uploader
19:08:21,702 INFO OpenWhisk.Resources-e0da: Using user-provided configuration of storage for OpenWhisk.
19:08:21,702 INFO OpenWhisk-b0a6: Using existing resource name: 91d37410.
19:08:21,794 INFO Benchmark-96ee: Using cached benchmark 120.uploader at /home/anou/msc-thesis/task-based-experiment/cache/120.uploader/openwhisk/nodejs/12/120.uploader.zip
19:08:21,794 INFO OpenWhisk-b0a6: Using cached function 120.uploader-nodejs-12 in /home/anou/msc-thesis/task-based-experiment/cache/120.uploader/openwhisk/nodejs/12/120.uploader.zip
19:08:21,810 INFO OpenWhisk-b0a6: Cached function 120.uploader-nodejs-12 is up to date.
19:08:21,812 INFO Experiment.PerfCost-1be2: Begin experiment on memory size 128
19:08:21,812 INFO OpenWhisk-b0a6: Update an existing OpenWhisk action 120.uploader-nodejs-12.
19:08:22,43 INFO Experiment.PerfCost-1be2: Begin warm experiments
19:08:29,768 INFO Experiment.PerfCost-1be2: Processed 0 warm-up samples, ignoring these results.
19:08:39,883 INFO Experiment.PerfCost-1be2: Processed 10 samples out of 10000, 0 errors
19:08:49,993 INFO Experiment.PerfCost-1be2: Processed 20 samples out of 10000, 0 errors
19:09:00,132 INFO Experiment.PerfCost-1be2: Processed 30 samples out of 10000, 0 errors
19:09:10,229 INFO Experiment.PerfCost-1be2: Processed 40 samples out of 10000, 0 errors
19:09:20,348 INFO Experiment.PerfCost-1be2: Processed 50 samples out of 10000, 0 errors
19:09:30,458 INFO Experiment.PerfCost-1be2: Processed 60 samples out of 10000, 0 errors
19:09:40,554 INFO Experiment.PerfCost-1be2: Processed 70 samples out of 10000, 0 errors
19:09:50,661 INFO Experiment.PerfCost-1be2: Processed 80 samples out of 10000, 0 errors
19:10:00,765 INFO Experiment.PerfCost-1be2: Processed 90 samples out of 10000, 0 errors
19:10:10,869 INFO Experiment.PerfCost-1be2: Processed 100 samples out of 10000, 0 errors
19:10:20,974 INFO Experiment.PerfCost-1be2: Processed 110 samples out of 10000, 0 errors
19:10:31,88 INFO Experiment.PerfCost-1be2: Processed 120 samples out of 10000, 0 errors
19:10:41,184 INFO Experiment.PerfCost-1be2: Processed 130 samples out of 10000, 0 errors
19:10:51,284 INFO Experiment.PerfCost-1be2: Processed 140 samples out of 10000, 0 errors
19:11:01,380 INFO Experiment.PerfCost-1be2: Processed 150 samples out of 10000, 0 errors
19:11:11,482 INFO Experiment.PerfCost-1be2: Processed 160 samples out of 10000, 0 errors
19:11:21,586 INFO Experiment.PerfCost-1be2: Processed 170 samples out of 10000, 0 errors
19:11:31,685 INFO Experiment.PerfCost-1be2: Processed 180 samples out of 10000, 0 errors
19:11:41,815 INFO Experiment.PerfCost-1be2: Processed 190 samples out of 10000, 0 errors
19:11:51,917 INFO Experiment.PerfCost-1be2: Processed 200 samples out of 10000, 0 errors
19:12:02,31 INFO Experiment.PerfCost-1be2: Processed 210 samples out of 10000, 0 errors
19:12:12,138 INFO Experiment.PerfCost-1be2: Processed 220 samples out of 10000, 0 errors
19:12:22,248 INFO Experiment.PerfCost-1be2: Processed 230 samples out of 10000, 0 errors
19:12:32,351 INFO Experiment.PerfCost-1be2: Processed 240 samples out of 10000, 0 errors
19:12:42,460 INFO Experiment.PerfCost-1be2: Processed 250 samples out of 10000, 0 errors
19:12:52,561 INFO Experiment.PerfCost-1be2: Processed 260 samples out of 10000, 0 errors
19:13:02,676 INFO Experiment.PerfCost-1be2: Processed 270 samples out of 10000, 0 errors
19:13:12,777 INFO Experiment.PerfCost-1be2: Processed 280 samples out of 10000, 0 errors
19:13:22,874 INFO Experiment.PerfCost-1be2: Processed 290 samples out of 10000, 0 errors
19:13:32,996 INFO Experiment.PerfCost-1be2: Processed 300 samples out of 10000, 0 errors
19:13:43,105 INFO Experiment.PerfCost-1be2: Processed 310 samples out of 10000, 0 errors
19:13:53,225 INFO Experiment.PerfCost-1be2: Processed 320 samples out of 10000, 0 errors
19:14:03,316 INFO Experiment.PerfCost-1be2: Processed 330 samples out of 10000, 0 errors
19:14:13,410 INFO Experiment.PerfCost-1be2: Processed 340 samples out of 10000, 0 errors
19:14:23,512 INFO Experiment.PerfCost-1be2: Processed 350 samples out of 10000, 0 errors
19:14:33,618 INFO Experiment.PerfCost-1be2: Processed 360 samples out of 10000, 0 errors
19:14:43,726 INFO Experiment.PerfCost-1be2: Processed 370 samples out of 10000, 0 errors
19:14:53,822 INFO Experiment.PerfCost-1be2: Processed 380 samples out of 10000, 0 errors
19:15:03,922 INFO Experiment.PerfCost-1be2: Processed 390 samples out of 10000, 0 errors
19:15:14,19 INFO Experiment.PerfCost-1be2: Processed 400 samples out of 10000, 0 errors
19:15:24,117 INFO Experiment.PerfCost-1be2: Processed 410 samples out of 10000, 0 errors
19:15:34,231 INFO Experiment.PerfCost-1be2: Processed 420 samples out of 10000, 0 errors
19:15:44,331 INFO Experiment.PerfCost-1be2: Processed 430 samples out of 10000, 0 errors
19:15:54,430 INFO Experiment.PerfCost-1be2: Processed 440 samples out of 10000, 0 errors
19:16:04,527 INFO Experiment.PerfCost-1be2: Processed 450 samples out of 10000, 0 errors
19:16:14,639 INFO Experiment.PerfCost-1be2: Processed 460 samples out of 10000, 0 errors
19:16:24,742 INFO Experiment.PerfCost-1be2: Processed 470 samples out of 10000, 0 errors
19:16:34,843 INFO Experiment.PerfCost-1be2: Processed 480 samples out of 10000, 0 errors
19:16:44,975 INFO Experiment.PerfCost-1be2: Processed 490 samples out of 10000, 0 errors
19:16:55,82 INFO Experiment.PerfCost-1be2: Processed 500 samples out of 10000, 0 errors
19:17:05,181 INFO Experiment.PerfCost-1be2: Processed 510 samples out of 10000, 0 errors
19:17:15,286 INFO Experiment.PerfCost-1be2: Processed 520 samples out of 10000, 0 errors
19:17:25,381 INFO Experiment.PerfCost-1be2: Processed 530 samples out of 10000, 0 errors
19:17:35,487 INFO Experiment.PerfCost-1be2: Processed 540 samples out of 10000, 0 errors
19:17:45,599 INFO Experiment.PerfCost-1be2: Processed 550 samples out of 10000, 0 errors
19:17:55,705 INFO Experiment.PerfCost-1be2: Processed 560 samples out of 10000, 0 errors
19:18:05,809 INFO Experiment.PerfCost-1be2: Processed 570 samples out of 10000, 0 errors
19:18:15,899 INFO Experiment.PerfCost-1be2: Processed 580 samples out of 10000, 0 errors
19:18:26,0 INFO Experiment.PerfCost-1be2: Processed 590 samples out of 10000, 0 errors
19:18:36,201 INFO Experiment.PerfCost-1be2: Processed 600 samples out of 10000, 0 errors
19:18:46,314 INFO Experiment.PerfCost-1be2: Processed 610 samples out of 10000, 0 errors
19:18:56,429 INFO Experiment.PerfCost-1be2: Processed 620 samples out of 10000, 0 errors
19:19:06,534 INFO Experiment.PerfCost-1be2: Processed 630 samples out of 10000, 0 errors
19:19:16,632 INFO Experiment.PerfCost-1be2: Processed 640 samples out of 10000, 0 errors
19:19:26,747 INFO Experiment.PerfCost-1be2: Processed 650 samples out of 10000, 0 errors
19:19:36,867 INFO Experiment.PerfCost-1be2: Processed 660 samples out of 10000, 0 errors
19:19:46,969 INFO Experiment.PerfCost-1be2: Processed 670 samples out of 10000, 0 errors
19:19:57,71 INFO Experiment.PerfCost-1be2: Processed 680 samples out of 10000, 0 errors
19:20:07,171 INFO Experiment.PerfCost-1be2: Processed 690 samples out of 10000, 0 errors
19:20:17,274 INFO Experiment.PerfCost-1be2: Processed 700 samples out of 10000, 0 errors
19:20:27,376 INFO Experiment.PerfCost-1be2: Processed 710 samples out of 10000, 0 errors
19:20:37,487 INFO Experiment.PerfCost-1be2: Processed 720 samples out of 10000, 0 errors
19:20:47,585 INFO Experiment.PerfCost-1be2: Processed 730 samples out of 10000, 0 errors
19:20:57,681 INFO Experiment.PerfCost-1be2: Processed 740 samples out of 10000, 0 errors
19:21:07,786 INFO Experiment.PerfCost-1be2: Processed 750 samples out of 10000, 0 errors
19:21:17,882 INFO Experiment.PerfCost-1be2: Processed 760 samples out of 10000, 0 errors
19:21:27,976 INFO Experiment.PerfCost-1be2: Processed 770 samples out of 10000, 0 errors
19:21:38,80 INFO Experiment.PerfCost-1be2: Processed 780 samples out of 10000, 0 errors
19:21:48,208 INFO Experiment.PerfCost-1be2: Processed 790 samples out of 10000, 0 errors
19:21:58,299 INFO Experiment.PerfCost-1be2: Processed 800 samples out of 10000, 0 errors
19:22:08,397 INFO Experiment.PerfCost-1be2: Processed 810 samples out of 10000, 0 errors
19:22:18,509 INFO Experiment.PerfCost-1be2: Processed 820 samples out of 10000, 0 errors
19:22:28,622 INFO Experiment.PerfCost-1be2: Processed 830 samples out of 10000, 0 errors
19:22:38,727 INFO Experiment.PerfCost-1be2: Processed 840 samples out of 10000, 0 errors
19:22:48,828 INFO Experiment.PerfCost-1be2: Processed 850 samples out of 10000, 0 errors
19:22:58,940 INFO Experiment.PerfCost-1be2: Processed 860 samples out of 10000, 0 errors
19:23:09,42 INFO Experiment.PerfCost-1be2: Processed 870 samples out of 10000, 0 errors
19:23:19,142 INFO Experiment.PerfCost-1be2: Processed 880 samples out of 10000, 0 errors
