21:57:20,504 INFO SeBS-452e: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/210.thumbnailer
21:57:20,844 INFO OpenWhisk.Resources-ff0d: Using user-provided configuration of storage for OpenWhisk.
21:57:20,844 INFO OpenWhisk-fbcc: Using existing resource name: 91d37410.
21:57:20,933 INFO Benchmark-49a8: Building benchmark 210.thumbnailer. Reason: no cached code package.
21:57:20,934 INFO Benchmark-49a8: There is no Docker build image for openwhisk run in nodejs, thus skipping the Docker-based installation of dependencies.
21:57:20,935 INFO OpenWhisk-fbcc: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.210.thumbnailer.nodejs-12.
21:57:21,536 INFO OpenWhisk-fbcc: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.210.thumbnailer.nodejs-12 to registry: Docker Hub.
21:57:24,225 INFO OpenWhisk-fbcc: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/210.thumbnailer/210.thumbnailer_code/nodejs/12/210.thumbnailer.zip archive
21:57:24,225 INFO OpenWhisk-fbcc: Zip archive size 0.000621 MB
21:57:24,227 INFO Benchmark-49a8: Created code package (source hash: 50237f6c32fc46c7a5820725e71a4e1f), for run on openwhisk with nodejs:12
21:57:24,230 INFO OpenWhisk-fbcc: Creating new function! Reason: function 210.thumbnailer-nodejs-12 not found in cache.
21:57:24,231 INFO OpenWhisk-fbcc: Creating function as an action in OpenWhisk.
21:57:24,408 INFO OpenWhisk-fbcc: Creating new OpenWhisk action 210.thumbnailer-nodejs-12
21:57:25,303 INFO Experiment.PerfCost-0454: Begin experiment on memory size 256
21:57:25,303 INFO OpenWhisk-fbcc: Update an existing OpenWhisk action 210.thumbnailer-nodejs-12.
21:57:25,479 INFO Experiment.PerfCost-0454: Begin warm experiments
21:57:38,573 INFO Experiment.PerfCost-0454: Processed 0 warm-up samples, ignoring these results.
21:57:48,949 INFO Experiment.PerfCost-0454: Processed 10 samples out of 10000, 0 errors
21:57:59,311 INFO Experiment.PerfCost-0454: Processed 20 samples out of 10000, 0 errors
21:58:09,688 INFO Experiment.PerfCost-0454: Processed 30 samples out of 10000, 0 errors
21:58:20,42 INFO Experiment.PerfCost-0454: Processed 40 samples out of 10000, 0 errors
21:58:30,433 INFO Experiment.PerfCost-0454: Processed 50 samples out of 10000, 0 errors
21:58:40,827 INFO Experiment.PerfCost-0454: Processed 60 samples out of 10000, 0 errors
21:58:51,207 INFO Experiment.PerfCost-0454: Processed 70 samples out of 10000, 0 errors
21:59:01,578 INFO Experiment.PerfCost-0454: Processed 80 samples out of 10000, 0 errors
21:59:11,934 INFO Experiment.PerfCost-0454: Processed 90 samples out of 10000, 0 errors
21:59:22,312 INFO Experiment.PerfCost-0454: Processed 100 samples out of 10000, 0 errors
21:59:32,667 INFO Experiment.PerfCost-0454: Processed 110 samples out of 10000, 0 errors
21:59:43,36 INFO Experiment.PerfCost-0454: Processed 120 samples out of 10000, 0 errors
21:59:53,413 INFO Experiment.PerfCost-0454: Processed 130 samples out of 10000, 0 errors
22:00:03,783 INFO Experiment.PerfCost-0454: Processed 140 samples out of 10000, 0 errors
22:00:14,159 INFO Experiment.PerfCost-0454: Processed 150 samples out of 10000, 0 errors
22:00:24,551 INFO Experiment.PerfCost-0454: Processed 160 samples out of 10000, 0 errors
22:00:34,902 INFO Experiment.PerfCost-0454: Processed 170 samples out of 10000, 0 errors
22:00:45,294 INFO Experiment.PerfCost-0454: Processed 180 samples out of 10000, 0 errors
22:00:55,679 INFO Experiment.PerfCost-0454: Processed 190 samples out of 10000, 0 errors
22:01:06,65 INFO Experiment.PerfCost-0454: Processed 200 samples out of 10000, 0 errors
22:01:16,407 INFO Experiment.PerfCost-0454: Processed 210 samples out of 10000, 0 errors
22:01:26,816 INFO Experiment.PerfCost-0454: Processed 220 samples out of 10000, 0 errors
22:01:37,194 INFO Experiment.PerfCost-0454: Processed 230 samples out of 10000, 0 errors
22:01:47,579 INFO Experiment.PerfCost-0454: Processed 240 samples out of 10000, 0 errors
22:01:57,936 INFO Experiment.PerfCost-0454: Processed 250 samples out of 10000, 0 errors
22:02:08,299 INFO Experiment.PerfCost-0454: Processed 260 samples out of 10000, 0 errors
22:02:18,647 INFO Experiment.PerfCost-0454: Processed 270 samples out of 10000, 0 errors
