00:50:29,207 INFO SeBS-4606: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/221.video-processing
00:50:29,553 INFO OpenWhisk.Resources-ca32: Using user-provided configuration of storage for OpenWhisk.
00:50:29,553 INFO OpenWhisk-d0ba: Using existing resource name: 91d37410.
00:50:29,646 INFO Benchmark-6d75: Building benchmark 221.video-processing. Reason: no cached code package.
00:50:36,808 INFO Benchmark-6d75: There is no Docker build image for openwhisk run in nodejs, thus skipping the Docker-based installation of dependencies.
00:50:36,810 INFO OpenWhisk-d0ba: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.221.video-processing.nodejs-12.
00:50:38,1 INFO OpenWhisk-d0ba: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.221.video-processing.nodejs-12 to registry: Docker Hub.
00:50:39,479 INFO OpenWhisk-d0ba: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/221.video-processing/221.video-processing_code/nodejs/12/221.video-processing.zip archive
00:50:39,480 INFO OpenWhisk-d0ba: Zip archive size 0.000621 MB
00:50:39,482 INFO Benchmark-6d75: Created code package (source hash: f6f382b1f92a62352e0c314b0b1c0229), for run on openwhisk with nodejs:12
00:50:39,485 INFO OpenWhisk-d0ba: Creating new function! Reason: function 221.video-processing-nodejs-12 not found in cache.
00:50:39,485 INFO OpenWhisk-d0ba: Creating function as an action in OpenWhisk.
00:50:39,655 INFO OpenWhisk-d0ba: Creating new OpenWhisk action 221.video-processing-nodejs-12
00:50:40,87 INFO Experiment.PerfCost-bfba: Begin experiment on memory size 512
00:50:40,87 INFO OpenWhisk-d0ba: Update an existing OpenWhisk action 221.video-processing-nodejs-12.
00:50:40,263 INFO Experiment.PerfCost-bfba: Begin warm experiments
00:50:54,736 INFO Experiment.PerfCost-bfba: Processed 0 warm-up samples, ignoring these results.
00:51:07,149 INFO Experiment.PerfCost-bfba: Processed 10 samples out of 10000, 0 errors
00:51:19,582 INFO Experiment.PerfCost-bfba: Processed 20 samples out of 10000, 0 errors
00:51:31,994 INFO Experiment.PerfCost-bfba: Processed 30 samples out of 10000, 0 errors
00:51:44,418 INFO Experiment.PerfCost-bfba: Processed 40 samples out of 10000, 0 errors
00:51:56,848 INFO Experiment.PerfCost-bfba: Processed 50 samples out of 10000, 0 errors
