22:39:52,480 INFO SeBS-1771: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/630.thumbnailer-otel
22:39:52,835 INFO OpenWhisk.Resources-c972: Using user-provided configuration of storage for OpenWhisk.
22:39:52,836 INFO OpenWhisk-685d: Using existing resource name: fd5e1ae0.
22:39:52,838 INFO Benchmark-27df: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
22:39:52,844 INFO Benchmark-27df: There is no Docker build image for openwhisk run in python, thus skipping the Docker-based installation of dependencies.
22:39:52,845 INFO OpenWhisk-685d: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.630.thumbnailer-opentelemetry.python-3.7.
22:39:53,194 INFO OpenWhisk-685d: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.630.thumbnailer-opentelemetry.python-3.7 to registry: Docker Hub.
22:39:54,488 INFO OpenWhisk-685d: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/630.thumbnailer-otel/630.thumbnailer-opentelemetry_code/python/3.7/630.thumbnailer-opentelemetry.zip archive
22:39:54,489 INFO OpenWhisk-685d: Zip archive size 0.000734 MB
22:39:54,491 INFO Benchmark-27df: Created code package (source hash: 818f21be97cb7823351191ca71b62588), for run on openwhisk with python:3.7
22:39:54,494 INFO OpenWhisk-685d: Creating new function! Reason: function 630.thumbnailer-opentelemetry-python-3.7 not found in cache.
22:39:54,494 INFO OpenWhisk-685d: Creating function as an action in OpenWhisk.
22:39:54,676 INFO OpenWhisk-685d: Retrieved existing OpenWhisk action 630.thumbnailer-opentelemetry-python-3.7.
22:39:54,677 INFO OpenWhisk-685d: Update an existing OpenWhisk action 630.thumbnailer-opentelemetry-python-3.7.
22:39:55,711 INFO Experiment.PerfCost-3e8c: Begin experiment on memory size 256
22:39:55,711 INFO OpenWhisk-685d: Update an existing OpenWhisk action 630.thumbnailer-opentelemetry-python-3.7.
22:39:55,876 INFO Experiment.PerfCost-3e8c: Begin warm experiments
22:40:07,7 INFO Experiment.PerfCost-3e8c: Processed 0 warm-up samples, ignoring these results.
22:40:17,343 INFO Experiment.PerfCost-3e8c: Processed 10 samples out of 10000, 0 errors
22:40:27,690 INFO Experiment.PerfCost-3e8c: Processed 20 samples out of 10000, 0 errors
22:40:38,28 INFO Experiment.PerfCost-3e8c: Processed 30 samples out of 10000, 0 errors
22:40:48,345 INFO Experiment.PerfCost-3e8c: Processed 40 samples out of 10000, 0 errors
22:40:58,677 INFO Experiment.PerfCost-3e8c: Processed 50 samples out of 10000, 0 errors
22:41:09,58 INFO Experiment.PerfCost-3e8c: Processed 60 samples out of 10000, 0 errors
22:41:19,402 INFO Experiment.PerfCost-3e8c: Processed 70 samples out of 10000, 0 errors
22:41:29,721 INFO Experiment.PerfCost-3e8c: Processed 80 samples out of 10000, 0 errors
22:41:40,40 INFO Experiment.PerfCost-3e8c: Processed 90 samples out of 10000, 0 errors
22:41:50,376 INFO Experiment.PerfCost-3e8c: Processed 100 samples out of 10000, 0 errors
22:42:00,702 INFO Experiment.PerfCost-3e8c: Processed 110 samples out of 10000, 0 errors
22:42:11,36 INFO Experiment.PerfCost-3e8c: Processed 120 samples out of 10000, 0 errors
22:42:21,362 INFO Experiment.PerfCost-3e8c: Processed 130 samples out of 10000, 0 errors
22:42:31,703 INFO Experiment.PerfCost-3e8c: Processed 140 samples out of 10000, 0 errors
22:42:42,39 INFO Experiment.PerfCost-3e8c: Processed 150 samples out of 10000, 0 errors
22:42:52,366 INFO Experiment.PerfCost-3e8c: Processed 160 samples out of 10000, 0 errors
22:43:02,688 INFO Experiment.PerfCost-3e8c: Processed 170 samples out of 10000, 0 errors
22:43:13,10 INFO Experiment.PerfCost-3e8c: Processed 180 samples out of 10000, 0 errors
22:43:23,342 INFO Experiment.PerfCost-3e8c: Processed 190 samples out of 10000, 0 errors
22:43:33,659 INFO Experiment.PerfCost-3e8c: Processed 200 samples out of 10000, 0 errors
22:43:43,978 INFO Experiment.PerfCost-3e8c: Processed 210 samples out of 10000, 0 errors
22:43:54,326 INFO Experiment.PerfCost-3e8c: Processed 220 samples out of 10000, 0 errors
22:44:04,651 INFO Experiment.PerfCost-3e8c: Processed 230 samples out of 10000, 0 errors
22:44:14,974 INFO Experiment.PerfCost-3e8c: Processed 240 samples out of 10000, 0 errors
22:44:25,303 INFO Experiment.PerfCost-3e8c: Processed 250 samples out of 10000, 0 errors
22:44:35,624 INFO Experiment.PerfCost-3e8c: Processed 260 samples out of 10000, 0 errors
22:44:45,946 INFO Experiment.PerfCost-3e8c: Processed 270 samples out of 10000, 0 errors
22:44:56,267 INFO Experiment.PerfCost-3e8c: Processed 280 samples out of 10000, 0 errors
22:45:06,601 INFO Experiment.PerfCost-3e8c: Processed 290 samples out of 10000, 0 errors
22:45:16,990 INFO Experiment.PerfCost-3e8c: Processed 300 samples out of 10000, 0 errors
22:45:27,311 INFO Experiment.PerfCost-3e8c: Processed 310 samples out of 10000, 0 errors
22:45:37,647 INFO Experiment.PerfCost-3e8c: Processed 320 samples out of 10000, 0 errors
22:45:47,982 INFO Experiment.PerfCost-3e8c: Processed 330 samples out of 10000, 0 errors
22:45:58,309 INFO Experiment.PerfCost-3e8c: Processed 340 samples out of 10000, 0 errors
22:46:08,640 INFO Experiment.PerfCost-3e8c: Processed 350 samples out of 10000, 0 errors
22:46:19,12 INFO Experiment.PerfCost-3e8c: Processed 360 samples out of 10000, 0 errors
22:46:29,345 INFO Experiment.PerfCost-3e8c: Processed 370 samples out of 10000, 0 errors
22:46:39,691 INFO Experiment.PerfCost-3e8c: Processed 380 samples out of 10000, 0 errors
22:46:50,21 INFO Experiment.PerfCost-3e8c: Processed 390 samples out of 10000, 0 errors
22:47:00,358 INFO Experiment.PerfCost-3e8c: Processed 400 samples out of 10000, 0 errors
22:47:10,692 INFO Experiment.PerfCost-3e8c: Processed 410 samples out of 10000, 0 errors
22:47:21,21 INFO Experiment.PerfCost-3e8c: Processed 420 samples out of 10000, 0 errors
22:47:31,343 INFO Experiment.PerfCost-3e8c: Processed 430 samples out of 10000, 0 errors
22:47:41,683 INFO Experiment.PerfCost-3e8c: Processed 440 samples out of 10000, 0 errors
22:47:52,6 INFO Experiment.PerfCost-3e8c: Processed 450 samples out of 10000, 0 errors
22:48:02,326 INFO Experiment.PerfCost-3e8c: Processed 460 samples out of 10000, 0 errors
22:48:12,664 INFO Experiment.PerfCost-3e8c: Processed 470 samples out of 10000, 0 errors
22:48:22,992 INFO Experiment.PerfCost-3e8c: Processed 480 samples out of 10000, 0 errors
22:48:33,310 INFO Experiment.PerfCost-3e8c: Processed 490 samples out of 10000, 0 errors
22:48:43,661 INFO Experiment.PerfCost-3e8c: Processed 500 samples out of 10000, 0 errors
22:48:53,985 INFO Experiment.PerfCost-3e8c: Processed 510 samples out of 10000, 0 errors
22:49:04,321 INFO Experiment.PerfCost-3e8c: Processed 520 samples out of 10000, 0 errors
22:49:14,653 INFO Experiment.PerfCost-3e8c: Processed 530 samples out of 10000, 0 errors
22:49:24,987 INFO Experiment.PerfCost-3e8c: Processed 540 samples out of 10000, 0 errors
22:49:35,305 INFO Experiment.PerfCost-3e8c: Processed 550 samples out of 10000, 0 errors
22:49:45,624 INFO Experiment.PerfCost-3e8c: Processed 560 samples out of 10000, 0 errors
22:49:55,951 INFO Experiment.PerfCost-3e8c: Processed 570 samples out of 10000, 0 errors
22:50:06,268 INFO Experiment.PerfCost-3e8c: Processed 580 samples out of 10000, 0 errors
22:50:16,590 INFO Experiment.PerfCost-3e8c: Processed 590 samples out of 10000, 0 errors
22:50:26,913 INFO Experiment.PerfCost-3e8c: Processed 600 samples out of 10000, 0 errors
22:50:37,222 INFO Experiment.PerfCost-3e8c: Processed 610 samples out of 10000, 0 errors
22:50:47,536 INFO Experiment.PerfCost-3e8c: Processed 620 samples out of 10000, 0 errors
22:50:57,843 INFO Experiment.PerfCost-3e8c: Processed 630 samples out of 10000, 0 errors
22:51:08,165 INFO Experiment.PerfCost-3e8c: Processed 640 samples out of 10000, 0 errors
22:51:18,502 INFO Experiment.PerfCost-3e8c: Processed 650 samples out of 10000, 0 errors
22:51:28,869 INFO Experiment.PerfCost-3e8c: Processed 660 samples out of 10000, 0 errors
22:51:39,187 INFO Experiment.PerfCost-3e8c: Processed 670 samples out of 10000, 0 errors
22:51:49,497 INFO Experiment.PerfCost-3e8c: Processed 680 samples out of 10000, 0 errors
22:51:59,819 INFO Experiment.PerfCost-3e8c: Processed 690 samples out of 10000, 0 errors
22:52:10,149 INFO Experiment.PerfCost-3e8c: Processed 700 samples out of 10000, 0 errors
22:52:20,479 INFO Experiment.PerfCost-3e8c: Processed 710 samples out of 10000, 0 errors
22:52:30,804 INFO Experiment.PerfCost-3e8c: Processed 720 samples out of 10000, 0 errors
22:52:41,131 INFO Experiment.PerfCost-3e8c: Processed 730 samples out of 10000, 0 errors
22:52:51,456 INFO Experiment.PerfCost-3e8c: Processed 740 samples out of 10000, 0 errors
22:53:01,776 INFO Experiment.PerfCost-3e8c: Processed 750 samples out of 10000, 0 errors
22:53:12,97 INFO Experiment.PerfCost-3e8c: Processed 760 samples out of 10000, 0 errors
22:53:22,425 INFO Experiment.PerfCost-3e8c: Processed 770 samples out of 10000, 0 errors
22:53:32,756 INFO Experiment.PerfCost-3e8c: Processed 780 samples out of 10000, 0 errors
22:53:43,94 INFO Experiment.PerfCost-3e8c: Processed 790 samples out of 10000, 0 errors
