09:38:56,591 INFO SeBS-5b25: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/650.compression-otel
09:38:56,909 INFO OpenWhisk.Resources-b432: Using user-provided configuration of storage for OpenWhisk.
09:38:56,909 INFO OpenWhisk.Resources-b432: User-provided configuration is different from cached storage, we will update existing OpenWhisk actions.
09:38:56,935 WARNING OpenWhisk-b5b8: We found 1 existing deployments! If you want to use any of them, please abort, and provide the resource id in your input config.
09:38:56,936 WARNING OpenWhisk-b5b8: Deployment resource IDs in the cloud: ['25103d68']
09:38:56,936 INFO OpenWhisk-b5b8: Generating unique resource name 4e198d2c
09:38:56,940 INFO minio.Minio-0b4a: Initialize a new bucket for benchmarks
09:38:56,945 INFO minio.Minio-0b4a: Created bucket sebs-benchmarks-4e198d2c
09:38:56,950 INFO Benchmark-b84b: Using cached benchmark 650.compression-opentelemetry at /home/anou/msc-thesis/task-based-experiment/cache/650.compression-opentelemetry/openwhisk/python/3.7/650.compression-opentelemetry.zip
09:38:56,951 INFO OpenWhisk-b5b8: Using cached function 650.compression-opentelemetry-python-3.7 in /home/anou/msc-thesis/task-based-experiment/cache/650.compression-opentelemetry/openwhisk/python/3.7/650.compression-opentelemetry.zip
09:38:56,952 INFO OpenWhisk-b5b8: Cached function 650.compression-opentelemetry-python-3.7 is up to date.
09:38:57,425 INFO Experiment.PerfCost-5d88: Begin experiment on memory size 256
09:38:57,426 INFO OpenWhisk-b5b8: Update an existing OpenWhisk action 650.compression-opentelemetry-python-3.7.
09:38:57,629 INFO Experiment.PerfCost-5d88: Begin warm experiments
09:39:07,219 INFO Experiment.PerfCost-5d88: Processed 0 warm-up samples, ignoring these results.
09:39:19,227 INFO Experiment.PerfCost-5d88: Processed 10 samples out of 10000, 0 errors
09:39:31,145 INFO Experiment.PerfCost-5d88: Processed 20 samples out of 10000, 0 errors
09:39:43,101 INFO Experiment.PerfCost-5d88: Processed 30 samples out of 10000, 0 errors
09:39:54,971 INFO Experiment.PerfCost-5d88: Processed 40 samples out of 10000, 0 errors
09:40:06,889 INFO Experiment.PerfCost-5d88: Processed 50 samples out of 10000, 0 errors
09:40:18,886 INFO Experiment.PerfCost-5d88: Processed 60 samples out of 10000, 0 errors
09:40:30,819 INFO Experiment.PerfCost-5d88: Processed 70 samples out of 10000, 0 errors
09:40:42,722 INFO Experiment.PerfCost-5d88: Processed 80 samples out of 10000, 0 errors
09:40:54,665 INFO Experiment.PerfCost-5d88: Processed 90 samples out of 10000, 0 errors
09:41:06,605 INFO Experiment.PerfCost-5d88: Processed 100 samples out of 10000, 0 errors
09:41:18,778 INFO Experiment.PerfCost-5d88: Processed 110 samples out of 10000, 0 errors
09:41:30,752 INFO Experiment.PerfCost-5d88: Processed 120 samples out of 10000, 0 errors
09:41:42,703 INFO Experiment.PerfCost-5d88: Processed 130 samples out of 10000, 0 errors
09:41:54,679 INFO Experiment.PerfCost-5d88: Processed 140 samples out of 10000, 0 errors
09:42:06,600 INFO Experiment.PerfCost-5d88: Processed 150 samples out of 10000, 0 errors
09:42:18,560 INFO Experiment.PerfCost-5d88: Processed 160 samples out of 10000, 0 errors
09:42:30,545 INFO Experiment.PerfCost-5d88: Processed 170 samples out of 10000, 0 errors
09:42:42,471 INFO Experiment.PerfCost-5d88: Processed 180 samples out of 10000, 0 errors
09:42:54,368 INFO Experiment.PerfCost-5d88: Processed 190 samples out of 10000, 0 errors
09:43:06,368 INFO Experiment.PerfCost-5d88: Processed 200 samples out of 10000, 0 errors
09:43:18,330 INFO Experiment.PerfCost-5d88: Processed 210 samples out of 10000, 0 errors
09:43:30,268 INFO Experiment.PerfCost-5d88: Processed 220 samples out of 10000, 0 errors
09:43:42,281 INFO Experiment.PerfCost-5d88: Processed 230 samples out of 10000, 0 errors
09:43:54,159 INFO Experiment.PerfCost-5d88: Processed 240 samples out of 10000, 0 errors
09:44:06,85 INFO Experiment.PerfCost-5d88: Processed 250 samples out of 10000, 0 errors
09:44:18,56 INFO Experiment.PerfCost-5d88: Processed 260 samples out of 10000, 0 errors
09:44:30,14 INFO Experiment.PerfCost-5d88: Processed 270 samples out of 10000, 0 errors
09:44:41,965 INFO Experiment.PerfCost-5d88: Processed 280 samples out of 10000, 0 errors
09:44:53,928 INFO Experiment.PerfCost-5d88: Processed 290 samples out of 10000, 0 errors
09:45:05,912 INFO Experiment.PerfCost-5d88: Processed 300 samples out of 10000, 0 errors
09:45:17,913 INFO Experiment.PerfCost-5d88: Processed 310 samples out of 10000, 0 errors
09:45:29,874 INFO Experiment.PerfCost-5d88: Processed 320 samples out of 10000, 0 errors
09:45:41,827 INFO Experiment.PerfCost-5d88: Processed 330 samples out of 10000, 0 errors
