23:47:14,226 INFO SeBS-91bf: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/on/instrumented/660.graph-pagerank
23:47:14,557 INFO OpenWhisk.Resources-6a2f: Using user-provided configuration of storage for OpenWhisk.
23:47:14,557 INFO OpenWhisk-4879: Using existing resource name: 8504288e.
23:47:14,561 INFO Benchmark-d60f: Building benchmark 660.graph-pagerank. Reason: no cached code package.
23:47:14,562 INFO Benchmark-d60f: There is no Docker build image for openwhisk run in python, thus skipping the Docker-based installation of dependencies.
23:47:14,563 INFO OpenWhisk-4879: Build the benchmark base image andersnou/msc-thesis:function.openwhisk.660.graph-pagerank.python-3.7.
23:47:15,35 INFO OpenWhisk-4879: Push the benchmark base image andersnou/msc-thesis:function.openwhisk.660.graph-pagerank.python-3.7 to registry: Docker Hub.
23:47:16,367 INFO OpenWhisk-4879: Created /home/anou/msc-thesis/task-based-experiment/experiment-results/python/on/instrumented/660.graph-pagerank/660.graph-pagerank_code/python/3.7/660.graph-pagerank.zip archive
23:47:16,367 INFO OpenWhisk-4879: Zip archive size 0.000734 MB
23:47:16,370 INFO Benchmark-d60f: Created code package (source hash: 130eb9d3d389c01d5246259b60325b46), for run on openwhisk with python:3.7
23:47:16,373 INFO OpenWhisk-4879: Creating new function! Reason: function 660.graph-pagerank-python-3.7 not found in cache.
23:47:16,373 INFO OpenWhisk-4879: Creating function as an action in OpenWhisk.
23:47:16,543 INFO OpenWhisk-4879: Creating new OpenWhisk action 660.graph-pagerank-python-3.7
23:47:16,829 INFO Experiment.PerfCost-7e17: Begin experiment on memory size 512
23:47:16,830 INFO OpenWhisk-4879: Update an existing OpenWhisk action 660.graph-pagerank-python-3.7.
23:47:17,12 INFO Experiment.PerfCost-7e17: Begin warm experiments
23:47:52,579 INFO Experiment.PerfCost-7e17: Processed 0 warm-up samples, ignoring these results.
23:48:02,698 INFO Experiment.PerfCost-7e17: Processed 10 samples out of 10000, 0 errors
23:48:12,816 INFO Experiment.PerfCost-7e17: Processed 20 samples out of 10000, 0 errors
23:48:22,916 INFO Experiment.PerfCost-7e17: Processed 30 samples out of 10000, 0 errors
23:48:33,13 INFO Experiment.PerfCost-7e17: Processed 40 samples out of 10000, 0 errors
23:48:43,112 INFO Experiment.PerfCost-7e17: Processed 50 samples out of 10000, 0 errors
23:48:53,212 INFO Experiment.PerfCost-7e17: Processed 60 samples out of 10000, 0 errors
23:49:03,315 INFO Experiment.PerfCost-7e17: Processed 70 samples out of 10000, 0 errors
23:49:13,412 INFO Experiment.PerfCost-7e17: Processed 80 samples out of 10000, 0 errors
23:49:23,520 INFO Experiment.PerfCost-7e17: Processed 90 samples out of 10000, 0 errors
23:49:33,625 INFO Experiment.PerfCost-7e17: Processed 100 samples out of 10000, 0 errors
23:49:43,753 INFO Experiment.PerfCost-7e17: Processed 110 samples out of 10000, 0 errors
23:49:53,850 INFO Experiment.PerfCost-7e17: Processed 120 samples out of 10000, 0 errors
23:50:03,948 INFO Experiment.PerfCost-7e17: Processed 130 samples out of 10000, 0 errors
23:50:14,45 INFO Experiment.PerfCost-7e17: Processed 140 samples out of 10000, 0 errors
23:50:24,151 INFO Experiment.PerfCost-7e17: Processed 150 samples out of 10000, 0 errors
23:50:34,255 INFO Experiment.PerfCost-7e17: Processed 160 samples out of 10000, 0 errors
23:50:44,347 INFO Experiment.PerfCost-7e17: Processed 170 samples out of 10000, 0 errors
23:50:54,448 INFO Experiment.PerfCost-7e17: Processed 180 samples out of 10000, 0 errors
23:51:04,550 INFO Experiment.PerfCost-7e17: Processed 190 samples out of 10000, 0 errors
23:51:14,655 INFO Experiment.PerfCost-7e17: Processed 200 samples out of 10000, 0 errors
23:51:24,757 INFO Experiment.PerfCost-7e17: Processed 210 samples out of 10000, 0 errors
23:51:34,862 INFO Experiment.PerfCost-7e17: Processed 220 samples out of 10000, 0 errors
23:51:44,957 INFO Experiment.PerfCost-7e17: Processed 230 samples out of 10000, 0 errors
