23:42:22,73 INFO SeBS-5a8e: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/non-instrumented/120.uploader
23:42:22,419 INFO OpenWhisk.Resources-ecdb: Using user-provided configuration of storage for OpenWhisk.
23:42:22,419 INFO OpenWhisk-c1a7: Using existing resource name: fd5e1ae0.
23:42:22,528 INFO Benchmark-7ca1: Using cached benchmark 120.uploader at /home/anou/msc-thesis/task-based-experiment/cache/120.uploader/openwhisk/python/3.7/120.uploader.zip
23:42:22,529 INFO OpenWhisk-c1a7: Using cached function 120.uploader-python-3.7 in /home/anou/msc-thesis/task-based-experiment/cache/120.uploader/openwhisk/python/3.7/120.uploader.zip
23:42:22,548 INFO OpenWhisk-c1a7: Cached function 120.uploader-python-3.7 is up to date.
23:42:22,552 INFO Experiment.PerfCost-fa65: Begin experiment on memory size 128
23:42:22,552 INFO OpenWhisk-c1a7: Update an existing OpenWhisk action 120.uploader-python-3.7.
23:42:22,780 INFO Experiment.PerfCost-fa65: Begin warm experiments
23:42:30,581 INFO Experiment.PerfCost-fa65: Processed 0 warm-up samples, ignoring these results.
23:42:40,758 INFO Experiment.PerfCost-fa65: Processed 10 samples out of 10000, 0 errors
23:42:50,940 INFO Experiment.PerfCost-fa65: Processed 20 samples out of 10000, 0 errors
23:43:01,120 INFO Experiment.PerfCost-fa65: Processed 30 samples out of 10000, 0 errors
23:43:11,294 INFO Experiment.PerfCost-fa65: Processed 40 samples out of 10000, 0 errors
23:43:21,460 INFO Experiment.PerfCost-fa65: Processed 50 samples out of 10000, 0 errors
23:43:31,639 INFO Experiment.PerfCost-fa65: Processed 60 samples out of 10000, 0 errors
23:43:41,824 INFO Experiment.PerfCost-fa65: Processed 70 samples out of 10000, 0 errors
23:43:52,5 INFO Experiment.PerfCost-fa65: Processed 80 samples out of 10000, 0 errors
23:44:02,199 INFO Experiment.PerfCost-fa65: Processed 90 samples out of 10000, 0 errors
23:44:12,383 INFO Experiment.PerfCost-fa65: Processed 100 samples out of 10000, 0 errors
23:44:22,577 INFO Experiment.PerfCost-fa65: Processed 110 samples out of 10000, 0 errors
23:44:32,772 INFO Experiment.PerfCost-fa65: Processed 120 samples out of 10000, 0 errors
23:44:42,974 INFO Experiment.PerfCost-fa65: Processed 130 samples out of 10000, 0 errors
23:44:53,152 INFO Experiment.PerfCost-fa65: Processed 140 samples out of 10000, 0 errors
23:45:03,332 INFO Experiment.PerfCost-fa65: Processed 150 samples out of 10000, 0 errors
23:45:13,523 INFO Experiment.PerfCost-fa65: Processed 160 samples out of 10000, 0 errors
23:45:23,706 INFO Experiment.PerfCost-fa65: Processed 170 samples out of 10000, 0 errors
23:45:33,884 INFO Experiment.PerfCost-fa65: Processed 180 samples out of 10000, 0 errors
23:45:44,45 INFO Experiment.PerfCost-fa65: Processed 190 samples out of 10000, 0 errors
23:45:54,239 INFO Experiment.PerfCost-fa65: Processed 200 samples out of 10000, 0 errors
23:46:04,430 INFO Experiment.PerfCost-fa65: Processed 210 samples out of 10000, 0 errors
23:46:14,614 INFO Experiment.PerfCost-fa65: Processed 220 samples out of 10000, 0 errors
23:46:24,812 INFO Experiment.PerfCost-fa65: Processed 230 samples out of 10000, 0 errors
23:46:35,1 INFO Experiment.PerfCost-fa65: Processed 240 samples out of 10000, 0 errors
23:46:45,177 INFO Experiment.PerfCost-fa65: Processed 250 samples out of 10000, 0 errors
23:46:55,355 INFO Experiment.PerfCost-fa65: Processed 260 samples out of 10000, 0 errors
23:47:05,551 INFO Experiment.PerfCost-fa65: Processed 270 samples out of 10000, 0 errors
23:47:15,733 INFO Experiment.PerfCost-fa65: Processed 280 samples out of 10000, 0 errors
23:47:25,914 INFO Experiment.PerfCost-fa65: Processed 290 samples out of 10000, 0 errors
23:47:36,147 INFO Experiment.PerfCost-fa65: Processed 300 samples out of 10000, 0 errors
23:47:46,321 INFO Experiment.PerfCost-fa65: Processed 310 samples out of 10000, 0 errors
23:47:56,515 INFO Experiment.PerfCost-fa65: Processed 320 samples out of 10000, 0 errors
23:48:06,696 INFO Experiment.PerfCost-fa65: Processed 330 samples out of 10000, 0 errors
23:48:16,866 INFO Experiment.PerfCost-fa65: Processed 340 samples out of 10000, 0 errors
23:48:27,52 INFO Experiment.PerfCost-fa65: Processed 350 samples out of 10000, 0 errors
23:48:37,232 INFO Experiment.PerfCost-fa65: Processed 360 samples out of 10000, 0 errors
23:48:47,408 INFO Experiment.PerfCost-fa65: Processed 370 samples out of 10000, 0 errors
23:48:57,593 INFO Experiment.PerfCost-fa65: Processed 380 samples out of 10000, 0 errors
23:49:07,777 INFO Experiment.PerfCost-fa65: Processed 390 samples out of 10000, 0 errors
23:49:17,960 INFO Experiment.PerfCost-fa65: Processed 400 samples out of 10000, 0 errors
23:49:28,156 INFO Experiment.PerfCost-fa65: Processed 410 samples out of 10000, 0 errors
23:49:38,341 INFO Experiment.PerfCost-fa65: Processed 420 samples out of 10000, 0 errors
23:49:48,525 INFO Experiment.PerfCost-fa65: Processed 430 samples out of 10000, 0 errors
23:49:58,703 INFO Experiment.PerfCost-fa65: Processed 440 samples out of 10000, 0 errors
23:50:08,895 INFO Experiment.PerfCost-fa65: Processed 450 samples out of 10000, 0 errors
23:50:19,70 INFO Experiment.PerfCost-fa65: Processed 460 samples out of 10000, 0 errors
23:50:29,233 INFO Experiment.PerfCost-fa65: Processed 470 samples out of 10000, 0 errors
23:50:39,423 INFO Experiment.PerfCost-fa65: Processed 480 samples out of 10000, 0 errors
23:50:49,615 INFO Experiment.PerfCost-fa65: Processed 490 samples out of 10000, 0 errors
23:50:59,792 INFO Experiment.PerfCost-fa65: Processed 500 samples out of 10000, 0 errors
23:51:09,963 INFO Experiment.PerfCost-fa65: Processed 510 samples out of 10000, 0 errors
23:51:20,147 INFO Experiment.PerfCost-fa65: Processed 520 samples out of 10000, 0 errors
23:51:30,328 INFO Experiment.PerfCost-fa65: Processed 530 samples out of 10000, 0 errors
23:51:40,513 INFO Experiment.PerfCost-fa65: Processed 540 samples out of 10000, 0 errors
23:51:50,691 INFO Experiment.PerfCost-fa65: Processed 550 samples out of 10000, 0 errors
23:52:00,877 INFO Experiment.PerfCost-fa65: Processed 560 samples out of 10000, 0 errors
23:52:11,50 INFO Experiment.PerfCost-fa65: Processed 570 samples out of 10000, 0 errors
23:52:21,237 INFO Experiment.PerfCost-fa65: Processed 580 samples out of 10000, 0 errors
23:52:31,427 INFO Experiment.PerfCost-fa65: Processed 590 samples out of 10000, 0 errors
23:52:41,680 INFO Experiment.PerfCost-fa65: Processed 600 samples out of 10000, 0 errors
23:52:51,852 INFO Experiment.PerfCost-fa65: Processed 610 samples out of 10000, 0 errors
23:53:02,28 INFO Experiment.PerfCost-fa65: Processed 620 samples out of 10000, 0 errors
23:53:12,211 INFO Experiment.PerfCost-fa65: Processed 630 samples out of 10000, 0 errors
23:53:22,390 INFO Experiment.PerfCost-fa65: Processed 640 samples out of 10000, 0 errors
23:53:32,586 INFO Experiment.PerfCost-fa65: Processed 650 samples out of 10000, 0 errors
23:53:42,770 INFO Experiment.PerfCost-fa65: Processed 660 samples out of 10000, 0 errors
23:53:52,943 INFO Experiment.PerfCost-fa65: Processed 670 samples out of 10000, 0 errors
23:54:03,141 INFO Experiment.PerfCost-fa65: Processed 680 samples out of 10000, 0 errors
23:54:13,345 INFO Experiment.PerfCost-fa65: Processed 690 samples out of 10000, 0 errors
23:54:23,557 INFO Experiment.PerfCost-fa65: Processed 700 samples out of 10000, 0 errors
23:54:33,741 INFO Experiment.PerfCost-fa65: Processed 710 samples out of 10000, 0 errors
23:54:43,927 INFO Experiment.PerfCost-fa65: Processed 720 samples out of 10000, 0 errors
23:54:54,127 INFO Experiment.PerfCost-fa65: Processed 730 samples out of 10000, 0 errors
23:55:04,306 INFO Experiment.PerfCost-fa65: Processed 740 samples out of 10000, 0 errors
23:55:14,475 INFO Experiment.PerfCost-fa65: Processed 750 samples out of 10000, 0 errors
23:55:24,682 INFO Experiment.PerfCost-fa65: Processed 760 samples out of 10000, 0 errors
23:55:34,862 INFO Experiment.PerfCost-fa65: Processed 770 samples out of 10000, 0 errors
23:55:45,46 INFO Experiment.PerfCost-fa65: Processed 780 samples out of 10000, 0 errors
23:55:55,241 INFO Experiment.PerfCost-fa65: Processed 790 samples out of 10000, 0 errors
23:56:05,419 INFO Experiment.PerfCost-fa65: Processed 800 samples out of 10000, 0 errors
23:56:15,601 INFO Experiment.PerfCost-fa65: Processed 810 samples out of 10000, 0 errors
23:56:25,791 INFO Experiment.PerfCost-fa65: Processed 820 samples out of 10000, 0 errors
23:56:35,971 INFO Experiment.PerfCost-fa65: Processed 830 samples out of 10000, 0 errors
23:56:46,158 INFO Experiment.PerfCost-fa65: Processed 840 samples out of 10000, 0 errors
23:56:56,345 INFO Experiment.PerfCost-fa65: Processed 850 samples out of 10000, 0 errors
23:57:06,526 INFO Experiment.PerfCost-fa65: Processed 860 samples out of 10000, 0 errors
23:57:16,713 INFO Experiment.PerfCost-fa65: Processed 870 samples out of 10000, 0 errors
23:57:26,894 INFO Experiment.PerfCost-fa65: Processed 880 samples out of 10000, 0 errors
23:57:37,93 INFO Experiment.PerfCost-fa65: Processed 890 samples out of 10000, 0 errors
23:57:47,332 INFO Experiment.PerfCost-fa65: Processed 900 samples out of 10000, 0 errors
23:57:57,519 INFO Experiment.PerfCost-fa65: Processed 910 samples out of 10000, 0 errors
23:58:07,705 INFO Experiment.PerfCost-fa65: Processed 920 samples out of 10000, 0 errors
23:58:17,882 INFO Experiment.PerfCost-fa65: Processed 930 samples out of 10000, 0 errors
23:58:28,82 INFO Experiment.PerfCost-fa65: Processed 940 samples out of 10000, 0 errors
23:58:38,259 INFO Experiment.PerfCost-fa65: Processed 950 samples out of 10000, 0 errors
23:58:48,448 INFO Experiment.PerfCost-fa65: Processed 960 samples out of 10000, 0 errors
23:58:58,637 INFO Experiment.PerfCost-fa65: Processed 970 samples out of 10000, 0 errors
23:59:08,826 INFO Experiment.PerfCost-fa65: Processed 980 samples out of 10000, 0 errors
23:59:19,7 INFO Experiment.PerfCost-fa65: Processed 990 samples out of 10000, 0 errors
23:59:29,191 INFO Experiment.PerfCost-fa65: Processed 1000 samples out of 10000, 0 errors
23:59:39,376 INFO Experiment.PerfCost-fa65: Processed 1010 samples out of 10000, 0 errors
23:59:49,557 INFO Experiment.PerfCost-fa65: Processed 1020 samples out of 10000, 0 errors
23:59:59,740 INFO Experiment.PerfCost-fa65: Processed 1030 samples out of 10000, 0 errors
00:00:09,913 INFO Experiment.PerfCost-fa65: Processed 1040 samples out of 10000, 0 errors
00:00:20,99 INFO Experiment.PerfCost-fa65: Processed 1050 samples out of 10000, 0 errors
00:00:30,266 INFO Experiment.PerfCost-fa65: Processed 1060 samples out of 10000, 0 errors
00:00:40,460 INFO Experiment.PerfCost-fa65: Processed 1070 samples out of 10000, 0 errors
