02:32:40,313 INFO SeBS-0f00: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/non-instrumented/210.thumbnailer
02:32:40,655 INFO OpenWhisk.Resources-ecdb: Using user-provided configuration of storage for OpenWhisk.
02:32:40,656 INFO OpenWhisk-3f93: Using existing resource name: fd5e1ae0.
02:32:40,765 INFO Benchmark-a07d: Using cached benchmark 210.thumbnailer at /home/anou/msc-thesis/task-based-experiment/cache/210.thumbnailer/openwhisk/python/3.7/210.thumbnailer.zip
02:32:40,766 INFO OpenWhisk-3f93: Using cached function 210.thumbnailer-python-3.7 in /home/anou/msc-thesis/task-based-experiment/cache/210.thumbnailer/openwhisk/python/3.7/210.thumbnailer.zip
02:32:40,786 INFO OpenWhisk-3f93: Cached function 210.thumbnailer-python-3.7 is up to date.
02:32:41,412 INFO Experiment.PerfCost-9875: Begin experiment on memory size 256
02:32:41,412 INFO OpenWhisk-3f93: Update an existing OpenWhisk action 210.thumbnailer-python-3.7.
02:32:41,660 INFO Experiment.PerfCost-9875: Begin warm experiments
02:32:49,654 INFO Experiment.PerfCost-9875: Processed 0 warm-up samples, ignoring these results.
02:32:59,961 INFO Experiment.PerfCost-9875: Processed 10 samples out of 10000, 0 errors
02:33:10,285 INFO Experiment.PerfCost-9875: Processed 20 samples out of 10000, 0 errors
02:33:20,609 INFO Experiment.PerfCost-9875: Processed 30 samples out of 10000, 0 errors
02:33:30,924 INFO Experiment.PerfCost-9875: Processed 40 samples out of 10000, 0 errors
02:33:41,236 INFO Experiment.PerfCost-9875: Processed 50 samples out of 10000, 0 errors
02:33:51,539 INFO Experiment.PerfCost-9875: Processed 60 samples out of 10000, 0 errors
02:34:01,848 INFO Experiment.PerfCost-9875: Processed 70 samples out of 10000, 0 errors
02:34:12,176 INFO Experiment.PerfCost-9875: Processed 80 samples out of 10000, 0 errors
02:34:22,548 INFO Experiment.PerfCost-9875: Processed 90 samples out of 10000, 0 errors
02:34:32,870 INFO Experiment.PerfCost-9875: Processed 100 samples out of 10000, 0 errors
02:34:43,177 INFO Experiment.PerfCost-9875: Processed 110 samples out of 10000, 0 errors
